clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Eint Frankfurt,2021-04-17,29,Visitante,D,0.0,4.0,M'Gladbach,63.0,4.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/f0ac8ee6.png
Eint Frankfurt,2021-04-10,28,Em casa,V,4.0,3.0,Wolfsburg,45.0,7.0,
Eint Frankfurt,2021-04-03,27,Visitante,V,2.0,1.0,Dortmund,43.0,3.0,
Eint Frankfurt,2021-03-20,26,Em casa,V,5.0,2.0,Union Berlin,54.0,7.0,
Eint Frankfurt,2021-03-14,25,Visitante,E,1.0,1.0,RB Leipzig,43.0,2.0,
Eint Frankfurt,2021-03-06,24,Em casa,E,1.0,1.0,Stuttgart,58.0,2.0,
Eint Frankfurt,2021-02-26,23,Visitante,D,1.0,2.0,Werder Bremen,69.0,3.0,
Eint Frankfurt,2021-02-20,22,Em casa,V,2.0,1.0,Bayern Munich,41.0,3.0,
Eint Frankfurt,2021-02-14,21,Em casa,V,2.0,0.0,Köln,60.0,2.0,
Eint Frankfurt,2021-02-07,20,Visitante,V,3.0,1.0,Hoffenheim,53.0,4.0,
Eint Frankfurt,2021-01-30,19,Em casa,V,3.0,1.0,Hertha BSC,61.0,4.0,
Eint Frankfurt,2021-01-23,18,Visitante,V,5.0,1.0,Arminia,56.0,6.0,
Eint Frankfurt,2021-01-20,17,Visitante,E,2.0,2.0,Freiburg,62.0,4.0,
Eint Frankfurt,2021-01-17,16,Em casa,V,3.0,1.0,Schalke 04,68.0,4.0,
Eint Frankfurt,2021-01-09,15,Visitante,V,2.0,0.0,Mainz 05,59.0,2.0,
Eint Frankfurt,2021-01-02,14,Em casa,V,2.0,1.0,Leverkusen,35.0,3.0,
Eint Frankfurt,2020-12-19,13,Visitante,V,2.0,0.0,Augsburg,54.0,2.0,
Eint Frankfurt,2020-12-15,12,Em casa,E,3.0,3.0,M'Gladbach,40.0,6.0,
Eint Frankfurt,2020-12-11,11,Visitante,D,1.0,2.0,Wolfsburg,45.0,3.0,
Eint Frankfurt,2020-12-05,10,Em casa,E,1.0,1.0,Dortmund,43.0,2.0,
Eint Frankfurt,2020-11-28, 9,Visitante,E,3.0,3.0,Union Berlin,55.0,6.0,
Eint Frankfurt,2020-11-21, 8,Em casa,E,1.0,1.0,RB Leipzig,38.0,2.0,
Eint Frankfurt,2020-11-07, 7,Visitante,E,2.0,2.0,Stuttgart,59.0,4.0,
Eint Frankfurt,2020-10-31, 6,Em casa,E,1.0,1.0,Werder Bremen,71.0,2.0,
Eint Frankfurt,2020-10-24, 5,Visitante,D,0.0,5.0,Bayern Munich,39.0,5.0,
Eint Frankfurt,2020-10-18, 4,Visitante,E,1.0,1.0,Köln,59.0,2.0,
Eint Frankfurt,2020-10-03, 3,Em casa,V,2.0,1.0,Hoffenheim,52.0,3.0,
Eint Frankfurt,2020-09-25, 2,Visitante,V,3.0,1.0,Hertha BSC,44.0,4.0,
Eint Frankfurt,2020-09-19, 1,Em casa,E,1.0,1.0,Arminia,63.0,2.0,
Dortmund,2021-04-10,28,Visitante,V,3.0,2.0,Stuttgart,51.0,5.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/add600ae.png
Dortmund,2021-04-03,27,Em casa,D,1.0,2.0,Eint Frankfurt,57.0,3.0,
Dortmund,2021-03-20,26,Visitante,E,2.0,2.0,Köln,56.0,4.0,
Dortmund,2021-03-13,25,Em casa,V,2.0,0.0,Hertha BSC,72.0,2.0,
Dortmund,2021-03-06,24,Visitante,D,2.0,4.0,Bayern Munich,34.0,6.0,
Dortmund,2021-02-27,23,Em casa,V,3.0,0.0,Arminia,62.0,3.0,
Dortmund,2021-02-20,22,Visitante,V,4.0,0.0,Schalke 04,62.0,4.0,
Dortmund,2021-02-13,21,Em casa,E,2.0,2.0,Hoffenheim,53.0,4.0,
Dortmund,2021-02-06,20,Visitante,D,1.0,2.0,Freiburg,67.0,3.0,
Dortmund,2021-01-30,19,Em casa,V,3.0,1.0,Augsburg,66.0,4.0,
Dortmund,2021-01-22,18,Visitante,D,2.0,4.0,M'Gladbach,57.0,6.0,
Dortmund,2021-01-19,17,Visitante,D,1.0,2.0,Leverkusen,52.0,3.0,
Dortmund,2021-01-16,16,Em casa,E,1.0,1.0,Mainz 05,72.0,2.0,
Dortmund,2021-01-09,15,Visitante,V,3.0,1.0,RB Leipzig,45.0,4.0,
Dortmund,2021-01-03,14,Em casa,V,2.0,0.0,Wolfsburg,60.0,2.0,
Dortmund,2020-12-18,13,Visitante,D,1.0,2.0,Union Berlin,70.0,3.0,
Dortmund,2020-12-15,12,Visitante,V,2.0,1.0,Werder Bremen,54.0,3.0,
Dortmund,2020-12-12,11,Em casa,D,1.0,5.0,Stuttgart,71.0,6.0,
Dortmund,2020-12-05,10,Visitante,E,1.0,1.0,Eint Frankfurt,57.0,2.0,
Dortmund,2020-11-28, 9,Em casa,D,1.0,2.0,Köln,69.0,3.0,
Dortmund,2020-11-21, 8,Visitante,V,5.0,2.0,Hertha BSC,59.0,7.0,
Dortmund,2020-11-07, 7,Em casa,D,2.0,3.0,Bayern Munich,51.0,5.0,
Dortmund,2020-10-31, 6,Visitante,V,2.0,0.0,Arminia,73.0,2.0,
Dortmund,2020-10-24, 5,Em casa,V,3.0,0.0,Schalke 04,73.0,3.0,
Dortmund,2020-10-17, 4,Visitante,V,1.0,0.0,Hoffenheim,55.0,1.0,
Dortmund,2020-10-03, 3,Em casa,V,4.0,0.0,Freiburg,66.0,4.0,
Dortmund,2020-09-26, 2,Visitante,D,0.0,2.0,Augsburg,79.0,2.0,
Dortmund,2020-09-19, 1,Em casa,V,3.0,0.0,M'Gladbach,48.0,3.0,
Leverkusen,2021-04-17,29,Em casa,V,3.0,0.0,Köln,43.0,3.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/c7a9f859.png
Leverkusen,2021-04-12,28,Visitante,E,0.0,0.0,Hoffenheim,54.0,0.0,
Leverkusen,2021-04-03,27,Em casa,V,2.0,1.0,Schalke 04,64.0,3.0,
Leverkusen,2021-03-21,26,Visitante,D,0.0,3.0,Hertha BSC,70.0,3.0,
Leverkusen,2021-03-14,25,Em casa,D,1.0,2.0,Arminia,74.0,3.0,
Leverkusen,2021-03-06,24,Visitante,V,1.0,0.0,M'Gladbach,57.0,1.0,
Leverkusen,2021-02-28,23,Em casa,D,1.0,2.0,Freiburg,66.0,3.0,
Leverkusen,2021-02-21,22,Visitante,E,1.0,1.0,Augsburg,73.0,2.0,
Leverkusen,2021-02-13,21,Em casa,E,2.0,2.0,Mainz 05,67.0,4.0,
Leverkusen,2021-02-06,20,Em casa,V,5.0,2.0,Stuttgart,56.0,7.0,
Leverkusen,2021-01-30,19,Visitante,D,0.0,1.0,RB Leipzig,54.0,1.0,
Leverkusen,2021-01-23,18,Em casa,D,0.0,1.0,Wolfsburg,64.0,1.0,
Leverkusen,2021-01-19,17,Em casa,V,2.0,1.0,Dortmund,48.0,3.0,
Leverkusen,2021-01-15,16,Visitante,D,0.0,1.0,Union Berlin,67.0,1.0,
Leverkusen,2021-01-09,15,Em casa,E,1.0,1.0,Werder Bremen,73.0,2.0,
Leverkusen,2021-01-02,14,Visitante,D,1.0,2.0,Eint Frankfurt,65.0,3.0,
Leverkusen,2020-12-19,13,Em casa,D,1.0,2.0,Bayern Munich,51.0,3.0,
Leverkusen,2020-12-16,12,Visitante,V,4.0,0.0,Köln,67.0,4.0,
Leverkusen,2020-12-13,11,Em casa,V,4.0,1.0,Hoffenheim,61.0,5.0,
Leverkusen,2020-12-06,10,Visitante,V,3.0,0.0,Schalke 04,63.0,3.0,
Leverkusen,2020-11-29, 9,Em casa,E,0.0,0.0,Hertha BSC,58.0,0.0,
Leverkusen,2020-11-21, 8,Visitante,V,2.0,1.0,Arminia,69.0,3.0,
Leverkusen,2020-11-08, 7,Em casa,V,4.0,3.0,M'Gladbach,59.0,7.0,
Leverkusen,2020-11-01, 6,Visitante,V,4.0,2.0,Freiburg,60.0,6.0,
Leverkusen,2020-10-26, 5,Em casa,V,3.0,1.0,Augsburg,66.0,4.0,
Leverkusen,2020-10-17, 4,Visitante,V,1.0,0.0,Mainz 05,60.0,1.0,
Leverkusen,2020-10-03, 3,Visitante,E,1.0,1.0,Stuttgart,52.0,2.0,
Leverkusen,2020-09-26, 2,Em casa,E,1.0,1.0,RB Leipzig,58.0,2.0,
Leverkusen,2020-09-20, 1,Visitante,E,0.0,0.0,Wolfsburg,59.0,0.0,
Union Berlin,2021-04-17,29,Em casa,V,2.0,1.0,Stuttgart,45.0,3.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/7a41008f.png
Union Berlin,2021-04-10,28,Visitante,E,1.0,1.0,Bayern Munich,40.0,2.0,
Union Berlin,2021-04-04,27,Em casa,E,1.0,1.0,Hertha BSC,59.0,2.0,
Union Berlin,2021-03-20,26,Visitante,D,2.0,5.0,Eint Frankfurt,46.0,7.0,
Union Berlin,2021-03-13,25,Em casa,V,2.0,1.0,Köln,41.0,3.0,
Union Berlin,2021-03-07,24,Visitante,E,0.0,0.0,Arminia,60.0,0.0,
Union Berlin,2021-02-28,23,Em casa,E,1.0,1.0,Hoffenheim,48.0,2.0,
Union Berlin,2021-02-20,22,Visitante,V,1.0,0.0,Freiburg,35.0,1.0,
Union Berlin,2021-02-13,21,Em casa,E,0.0,0.0,Schalke 04,38.0,0.0,
Union Berlin,2021-02-06,20,Visitante,D,0.0,1.0,Mainz 05,58.0,1.0,
Union Berlin,2021-01-30,19,Em casa,E,1.0,1.0,M'Gladbach,43.0,2.0,
Union Berlin,2021-01-23,18,Visitante,D,1.0,2.0,Augsburg,64.0,3.0,
Union Berlin,2021-01-20,17,Visitante,D,0.0,1.0,RB Leipzig,33.0,1.0,
Union Berlin,2021-01-15,16,Em casa,V,1.0,0.0,Leverkusen,33.0,1.0,
Union Berlin,2021-01-09,15,Em casa,E,2.0,2.0,Wolfsburg,47.0,4.0,
Union Berlin,2021-01-02,14,Visitante,V,2.0,0.0,Werder Bremen,43.0,2.0,
Union Berlin,2020-12-18,13,Em casa,V,2.0,1.0,Dortmund,30.0,3.0,
Union Berlin,2020-12-15,12,Visitante,E,2.0,2.0,Stuttgart,39.0,4.0,
Union Berlin,2020-12-12,11,Em casa,E,1.0,1.0,Bayern Munich,33.0,2.0,
Union Berlin,2020-12-04,10,Visitante,D,1.0,3.0,Hertha BSC,32.0,4.0,
Union Berlin,2020-11-28, 9,Em casa,E,3.0,3.0,Eint Frankfurt,45.0,6.0,
Union Berlin,2020-11-22, 8,Visitante,V,2.0,1.0,Köln,51.0,3.0,
Union Berlin,2020-11-07, 7,Em casa,V,5.0,0.0,Arminia,51.0,5.0,
Union Berlin,2020-11-02, 6,Visitante,V,3.0,1.0,Hoffenheim,40.0,4.0,
Union Berlin,2020-10-24, 5,Em casa,E,1.0,1.0,Freiburg,50.0,2.0,
Union Berlin,2020-10-18, 4,Visitante,E,1.0,1.0,Schalke 04,48.0,2.0,
Union Berlin,2020-10-02, 3,Em casa,V,4.0,0.0,Mainz 05,50.0,4.0,
Union Berlin,2020-09-26, 2,Visitante,E,1.0,1.0,M'Gladbach,38.0,2.0,
Union Berlin,2020-09-19, 1,Em casa,D,1.0,3.0,Augsburg,59.0,4.0,
Freiburg,2021-04-17,29,Em casa,V,4.0,0.0,Schalke 04,57.0,4.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/a486e511.png
Freiburg,2021-04-09,28,Visitante,D,0.0,1.0,Arminia,55.0,1.0,
Freiburg,2021-04-03,27,Visitante,D,1.0,2.0,M'Gladbach,51.0,3.0,
Freiburg,2021-03-21,26,Em casa,V,2.0,0.0,Augsburg,58.0,2.0,
Freiburg,2021-03-13,25,Visitante,D,0.0,1.0,Mainz 05,52.0,1.0,
Freiburg,2021-03-06,24,Em casa,D,0.0,3.0,RB Leipzig,42.0,3.0,
Freiburg,2021-02-28,23,Visitante,V,2.0,1.0,Leverkusen,34.0,3.0,
Freiburg,2021-02-20,22,Em casa,D,0.0,1.0,Union Berlin,65.0,1.0,
Freiburg,2021-02-13,21,Visitante,E,0.0,0.0,Werder Bremen,53.0,0.0,
Freiburg,2021-02-06,20,Em casa,V,2.0,1.0,Dortmund,33.0,3.0,
Freiburg,2021-01-31,19,Visitante,D,0.0,3.0,Wolfsburg,55.0,3.0,
Freiburg,2021-01-23,18,Em casa,V,2.0,1.0,Stuttgart,38.0,3.0,
Freiburg,2021-01-20,17,Em casa,E,2.0,2.0,Eint Frankfurt,38.0,4.0,
Freiburg,2021-01-17,16,Visitante,D,1.0,2.0,Bayern Munich,41.0,3.0,
Freiburg,2021-01-09,15,Em casa,V,5.0,0.0,Köln,50.0,5.0,
Freiburg,2021-01-02,14,Visitante,V,3.0,1.0,Hoffenheim,32.0,4.0,
Freiburg,2020-12-20,13,Em casa,V,4.0,1.0,Hertha BSC,43.0,5.0,
Freiburg,2020-12-16,12,Visitante,V,2.0,0.0,Schalke 04,46.0,2.0,
Freiburg,2020-12-12,11,Em casa,V,2.0,0.0,Arminia,47.0,2.0,
Freiburg,2020-12-05,10,Em casa,E,2.0,2.0,M'Gladbach,39.0,4.0,
Freiburg,2020-11-28, 9,Visitante,E,1.0,1.0,Augsburg,42.0,2.0,
Freiburg,2020-11-22, 8,Em casa,D,1.0,3.0,Mainz 05,70.0,4.0,
Freiburg,2020-11-07, 7,Visitante,D,0.0,3.0,RB Leipzig,44.0,3.0,
Freiburg,2020-11-01, 6,Em casa,D,2.0,4.0,Leverkusen,40.0,6.0,
Freiburg,2020-10-24, 5,Visitante,E,1.0,1.0,Union Berlin,50.0,2.0,
Freiburg,2020-10-17, 4,Em casa,E,1.0,1.0,Werder Bremen,63.0,2.0,
Freiburg,2020-10-03, 3,Visitante,D,0.0,4.0,Dortmund,34.0,4.0,
Freiburg,2020-09-27, 2,Em casa,E,1.0,1.0,Wolfsburg,52.0,2.0,
Freiburg,2020-09-19, 1,Visitante,V,3.0,2.0,Stuttgart,36.0,5.0,
M'Gladbach,2021-04-17,29,Em casa,V,4.0,0.0,Eint Frankfurt,37.0,4.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/32f3ee20.png
M'Gladbach,2021-04-10,28,Visitante,E,2.0,2.0,Hertha BSC,38.0,4.0,
M'Gladbach,2021-04-03,27,Em casa,V,2.0,1.0,Freiburg,49.0,3.0,
M'Gladbach,2021-03-20,26,Visitante,V,3.0,0.0,Schalke 04,70.0,3.0,
M'Gladbach,2021-03-12,25,Visitante,D,1.0,3.0,Augsburg,63.0,4.0,
M'Gladbach,2021-03-06,24,Em casa,D,0.0,1.0,Leverkusen,43.0,1.0,
M'Gladbach,2021-02-27,23,Visitante,D,2.0,3.0,RB Leipzig,34.0,5.0,
M'Gladbach,2021-02-20,22,Em casa,D,1.0,2.0,Mainz 05,69.0,3.0,
M'Gladbach,2021-02-14,21,Visitante,E,0.0,0.0,Wolfsburg,45.0,0.0,
M'Gladbach,2021-02-06,20,Em casa,D,1.0,2.0,Köln,64.0,3.0,
M'Gladbach,2021-01-30,19,Visitante,E,1.0,1.0,Union Berlin,57.0,2.0,
M'Gladbach,2021-01-22,18,Em casa,V,4.0,2.0,Dortmund,43.0,6.0,
M'Gladbach,2021-01-19,17,Em casa,V,1.0,0.0,Werder Bremen,60.0,1.0,
M'Gladbach,2021-01-16,16,Visitante,E,2.0,2.0,Stuttgart,40.0,4.0,
M'Gladbach,2021-01-08,15,Em casa,V,3.0,2.0,Bayern Munich,33.0,5.0,
M'Gladbach,2021-01-02,14,Visitante,V,1.0,0.0,Arminia,59.0,1.0,
M'Gladbach,2020-12-19,13,Em casa,D,1.0,2.0,Hoffenheim,47.0,3.0,
M'Gladbach,2020-12-15,12,Visitante,E,3.0,3.0,Eint Frankfurt,60.0,6.0,
M'Gladbach,2020-12-12,11,Em casa,E,1.0,1.0,Hertha BSC,56.0,2.0,
M'Gladbach,2020-12-05,10,Visitante,E,2.0,2.0,Freiburg,61.0,4.0,
M'Gladbach,2020-11-28, 9,Em casa,V,4.0,1.0,Schalke 04,57.0,5.0,
M'Gladbach,2020-11-21, 8,Em casa,E,1.0,1.0,Augsburg,53.0,2.0,
M'Gladbach,2020-11-08, 7,Visitante,D,3.0,4.0,Leverkusen,41.0,7.0,
M'Gladbach,2020-10-31, 6,Em casa,V,1.0,0.0,RB Leipzig,48.0,1.0,
M'Gladbach,2020-10-24, 5,Visitante,V,3.0,2.0,Mainz 05,59.0,5.0,
M'Gladbach,2020-10-17, 4,Em casa,E,1.0,1.0,Wolfsburg,47.0,2.0,
M'Gladbach,2020-10-03, 3,Visitante,V,3.0,1.0,Köln,59.0,4.0,
M'Gladbach,2020-09-26, 2,Em casa,E,1.0,1.0,Union Berlin,62.0,2.0,
M'Gladbach,2020-09-19, 1,Visitante,D,0.0,3.0,Dortmund,52.0,3.0,
Stuttgart,2021-04-17,29,Visitante,D,1.0,2.0,Union Berlin,55.0,3.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202104131/tlogo/fb/598bc722.png
Stuttgart,2021-04-10,28,Em casa,D,2.0,3.0,Dortmund,49.0,5.0,
Stuttgart,2021-04-04,27,Em casa,V,1.0,0.0,Werder Bremen,59.0,1.0,
Stuttgart,2021-03-20,26,Visitante,D,0.0,4.0,Bayern Munich,58.0,4.0,
Stuttgart,2021-03-14,25,Em casa,V,2.0,0.0,Hoffenheim,43.0,2.0,
