data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_partida
2021-01-21,Bragantino,Vasco,4.0,1.0,Vitória Mandante,5.0
2021-01-20,Bahia,Atl Paranaense,1.0,0.0,Vitória Mandante,1.0
2021-01-20,Botafogo RJ,Atl Goianiense,1.0,3.0,Vitória Visitante,4.0
2021-01-20,Grêmio,Atlético Mineiro,1.0,1.0,Empate,2.0
2021-01-20,Coritiba,Fluminense,3.0,3.0,Empate,6.0
2021-01-18,Goias,Flamengo,0.0,3.0,Vitória Visitante,3.0
2021-01-18,Palmeiras,Corinthians,4.0,0.0,Vitória Mandante,4.0
2021-01-17,Internacional,Fortaleza,4.0,2.0,Vitória Mandante,6.0
2021-01-17,Ceará,Bragantino,1.0,2.0,Vitória Visitante,3.0
2021-01-17,Atlético Mineiro,Atl Goianiense,3.0,1.0,Vitória Mandante,4.0
2021-01-17,Santos,Botafogo RJ,2.0,1.0,Vitória Mandante,3.0
2021-01-17,Atl Paranaense,São Paulo,1.0,1.0,Empate,2.0
2021-01-17,Vasco,Coritiba,0.0,1.0,Vitória Visitante,1.0
2021-01-16,Fluminense,Sport Recife,1.0,0.0,Vitória Mandante,1.0
2021-01-16,Palmeiras,Grêmio,1.0,1.0,Empate,2.0
2021-01-14,Corinthians,Fluminense,5.0,0.0,Vitória Mandante,5.0
2021-01-11,Bragantino,Atlético Mineiro,2.0,2.0,Empate,4.0
2021-01-10,Vasco,Botafogo RJ,3.0,0.0,Vitória Mandante,3.0
2021-01-10,Internacional,Goias,1.0,0.0,Vitória Mandante,1.0
2021-01-10,Atl Goianiense,Bahia,1.0,1.0,Empate,2.0
2021-01-10,São Paulo,Santos,0.0,1.0,Vitória Visitante,1.0
2021-01-10,Flamengo,Ceará,0.0,2.0,Vitória Visitante,2.0
2021-01-10,Fortaleza,Grêmio,0.0,0.0,Empate,0.0
2021-01-09,Sport Recife,Palmeiras,0.0,1.0,Vitória Visitante,1.0
2021-01-09,Coritiba,Atl Paranaense,0.0,0.0,Empate,0.0
