,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
10,Monaco,2020-11-08,Visitante,V,2.0,1.0,Nice,37.0,3.0,4,76.1,15,8,53.3,25,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
11,Monaco,2020-11-20,Em casa,V,3.0,2.0,Paris S-G,52.0,5.0,2,84.0,15,4,26.7,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
12,Monaco,2020-11-29,Em casa,V,3.0,0.0,Nîmes,67.0,3.0,8,86.2,18,5,27.8,60,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
13,Monaco,2020-12-06,Visitante,D,1.0,2.0,Lille,58.0,3.0,3,82.4,8,3,37.5,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
14,Monaco,2020-12-12,Visitante,D,1.0,2.0,Marseille,60.0,3.0,3,79.8,8,3,37.5,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
15,Monaco,2020-12-16,Em casa,D,0.0,3.0,Lens,33.0,3.0,3,74.5,7,1,14.3,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
16,Monaco,2020-12-20,Visitante,V,1.0,0.0,Dijon,47.0,1.0,6,78.2,13,6,46.2,17,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
17,Monaco,2020-12-23,Em casa,E,2.0,2.0,Saint-Étienne,40.0,4.0,0,68.7,2,2,100.0,100,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
18,Monaco,2021-01-06,Visitante,V,5.0,2.0,Lorient,58.0,7.0,8,84.8,15,9,60.0,56,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
19,Monaco,2021-01-09,Em casa,V,3.0,0.0,Angers,56.0,3.0,5,82.2,14,5,35.7,60,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
20,Monaco,2021-01-15,Visitante,V,3.0,2.0,Montpellier,48.0,5.0,6,72.4,15,3,20.0,67,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
21,Monaco,2021-01-23,Em casa,V,3.0,1.0,Marseille,54.0,4.0,5,73.5,8,6,75.0,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
22,Monaco,2021-01-31,Visitante,V,2.0,1.0,Nantes,68.0,3.0,8,83.9,14,5,35.7,40,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
23,Monaco,2021-02-03,Em casa,V,2.0,1.0,Nice,42.0,3.0,6,75.4,14,5,35.7,20,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
