data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante
18/02/18,Atlético Madrid,Athletic Club,2,0,Vitória Mandante,0,0,D,14,4,4,0,5,2,6,12,3,2,0,0
18/02/18,Betis,Real Madrid,3,5,Vitória Visitante,2,1,H,20,12,5,9,7,5,7,15,3,5,0,0
18/02/18,Espanol,Villarreal,1,1,Empate,0,1,A,15,8,3,3,2,5,7,19,1,7,0,0
18/02/18,Real Sociedad,Levante,3,0,Vitória Mandante,2,0,H,13,9,3,1,2,4,12,13,0,2,0,0
19/02/18,Getafe,Celta Vigo,3,0,Vitória Mandante,1,0,H,9,4,5,1,5,5,21,15,4,3,0,0
21/02/18,Leganes,Real Madrid,1,3,Vitória Visitante,1,2,A,7,13,3,7,6,5,18,7,3,1,0,0
23/02/18,La Coruna,Espanol,0,0,Empate,0,0,D,17,9,4,1,4,2,9,10,5,1,0,0
24/02/18,Barcelona,Girona,6,1,Vitória Mandante,4,1,H,21,10,14,4,5,3,11,11,1,1,0,0
24/02/18,Celta Vigo,Eibar,2,0,Vitória Mandante,0,0,D,8,15,3,2,3,9,11,16,2,3,0,0
24/02/18,Leganes,Las Palmas,0,0,Empate,0,0,D,11,4,2,1,6,5,22,17,4,5,0,0
24/02/18,Real Madrid,Alavés,4,0,Vitória Mandante,1,0,H,25,11,10,5,9,5,9,14,1,2,0,0
25/02/18,Athletic Club,Malaga,2,1,Vitória Mandante,2,1,H,8,8,6,4,6,4,12,18,3,3,0,1
25/02/18,Sevilla,Atlético Madrid,2,5,Vitória Visitante,0,2,A,10,13,5,8,5,4,10,24,3,3,0,0
25/02/18,Valencia,Real Sociedad,2,1,Vitória Mandante,1,0,H,7,9,4,3,4,4,12,9,2,3,0,0
25/02/18,Villarreal,Getafe,1,0,Vitória Mandante,1,0,H,10,3,4,2,2,8,14,21,5,3,0,0
26/02/18,Levante,Betis,0,2,Vitória Visitante,0,0,D,12,15,2,6,5,5,17,8,5,2,0,0
27/02/18,Espanol,Real Madrid,1,0,Vitória Mandante,0,0,D,16,12,7,5,3,8,15,10,1,1,0,0
27/02/18,Girona,Celta Vigo,1,0,Vitória Mandante,1,0,H,11,10,2,2,6,4,9,10,3,2,0,0
28/02/18,Athletic Club,Valencia,1,1,Empate,0,1,A,11,6,4,4,6,1,16,16,1,2,0,0
28/02/18,Atlético Madrid,Leganes,4,0,Vitória Mandante,2,0,H,15,9,8,3,5,1,10,10,1,3,0,0
28/02/18,Eibar,Villarreal,1,0,Vitória Mandante,1,0,H,13,11,1,3,6,4,18,8,4,2,0,0
28/02/18,Getafe,La Coruna,3,0,Vitória Mandante,2,0,H,14,9,5,1,10,6,6,9,2,4,0,0
28/02/18,Malaga,Sevilla,0,1,Vitória Visitante,0,1,A,8,6,0,4,9,4,19,14,2,2,0,0
01/03/18,Alavés,Levante,1,0,Vitória Mandante,0,0,D,15,6,5,1,5,3,14,17,4,4,1,1
01/03/18,Betis,Real Sociedad,0,0,Empate,0,0,D,8,13,4,5,4,10,11,7,2,0,0,0
01/03/18,Las Palmas,Barcelona,1,1,Empate,0,1,A,12,10,1,4,6,6,18,13,6,3,0,0
03/03/18,La Coruna,Eibar,1,1,Empate,1,1,D,7,16,2,3,2,9,6,8,1,2,1,0
03/03/18,Leganes,Malaga,2,0,Vitória Mandante,0,0,D,10,4,3,1,6,1,11,14,1,1,0,0
03/03/18,Real Madrid,Getafe,3,1,Vitória Mandante,2,0,H,14,4,6,4,8,0,13,18,1,3,0,1
03/03/18,Sevilla,Athletic Club,2,0,Vitória Mandante,2,0,H,18,10,8,3,8,4,14,13,2,3,0,0
03/03/18,Villarreal,Girona,0,2,Vitória Visitante,0,1,A,14,4,5,3,7,2,14,18,4,1,0,0
04/03/18,Barcelona,Atlético Madrid,1,0,Vitória Mandante,1,0,H,16,6,5,1,12,1,16,20,2,2,0,0
04/03/18,Levante,Espanol,1,1,Empate,0,0,D,13,15,4,3,2,1,14,13,0,3,0,0
04/03/18,Real Sociedad,Alavés,2,1,Vitória Mandante,2,1,H,14,3,5,1,8,4,10,13,0,1,0,0
04/03/18,Valencia,Betis,2,0,Vitória Mandante,1,0,H,12,9,6,4,7,0,14,11,1,4,0,0
05/03/18,Celta Vigo,Las Palmas,2,1,Vitória Mandante,0,0,D,14,10,6,3,10,7,13,15,1,2,0,0
09/03/18,Girona,La Coruna,2,0,Vitória Mandante,1,0,H,9,8,6,4,2,2,17,16,1,4,0,0
10/03/18,Eibar,Real Madrid,1,2,Vitória Visitante,0,1,A,12,12,3,6,8,6,12,7,1,1,0,0
10/03/18,Getafe,Levante,0,1,Vitória Visitante,0,0,D,11,12,4,4,4,7,14,16,5,7,0,1
10/03/18,Malaga,Barcelona,0,2,Vitória Visitante,0,2,A,6,20,2,9,2,5,15,9,1,1,1,0
10/03/18,Sevilla,Valencia,0,2,Vitória Visitante,0,1,A,21,10,5,5,7,3,15,15,4,2,0,0
11/03/18,Athletic Club,Leganes,2,0,Vitória Mandante,2,0,H,13,12,5,1,3,6,12,14,2,5,0,0
11/03/18,Atlético Madrid,Celta Vigo,3,0,Vitória Mandante,1,0,H,7,8,3,2,6,4,14,10,1,2,0,0
11/03/18,Espanol,Real Sociedad,2,1,Vitória Mandante,0,1,A,18,11,7,5,6,4,18,14,0,2,0,0
11/03/18,Las Palmas,Villarreal,0,2,Vitória Visitante,0,0,D,9,11,3,4,7,3,15,17,1,1,1,0
12/03/18,Alavés,Betis,1,3,Vitória Visitante,0,2,A,9,10,1,4,6,2,18,17,2,3,0,0
16/03/18,Levante,Eibar,2,1,Vitória Mandante,1,0,H,6,13,3,4,4,5,11,11,4,3,0,0
17/03/18,Betis,Espanol,3,0,Vitória Mandante,1,0,H,9,4,4,1,3,5,15,11,1,3,0,0
17/03/18,La Coruna,Las Palmas,1,1,Empate,1,1,D,13,8,3,1,9,2,24,12,3,3,0,0
17/03/18,Real Sociedad,Getafe,1,2,Vitória Visitante,1,1,D,8,9,2,5,7,1,13,21,3,7,0,0
17/03/18,Valencia,Alavés,3,1,Vitória Mandante,2,0,H,24,16,10,4,9,2,8,14,1,1,0,0
18/03/18,Barcelona,Athletic Club,2,0,Vitória Mandante,2,0,H,18,10,9,3,6,5,7,14,2,2,0,0
18/03/18,Celta Vigo,Malaga,0,0,Empate,0,0,D,9,5,3,0,4,5,16,24,3,2,0,0
18/03/18,Leganes,Sevilla,2,1,Vitória Mandante,1,0,H,12,10,6,4,5,4,13,11,2,4,0,1
