,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
14,Celta Vigo,2020-12-20,Em casa,V,2.0,0.0,Alavés,55.0,2.0,3,78.6,12.0,4.0,33.3,50.0,
15,Celta Vigo,2020-12-23,Visitante,E,1.0,1.0,Getafe,62.0,2.0,4,77.7,,,,,
16,Celta Vigo,2020-12-30,Em casa,V,2.0,1.0,Huesca,57.0,3.0,0,86.1,15.0,6.0,40.0,33.0,
17,Celta Vigo,2021-01-02,Visitante,D,0.0,2.0,Real Madrid,59.0,2.0,5,86.3,,,,,
18,Celta Vigo,2021-01-08,Em casa,D,0.0,4.0,Villarreal,57.0,4.0,3,87.3,8.0,3.0,37.5,0.0,
19,Celta Vigo,2021-01-20,Visitante,D,1.0,2.0,Betis,57.0,3.0,6,81.8,10.0,3.0,30.0,33.0,
20,Celta Vigo,2021-01-24,Em casa,E,1.0,1.0,Eibar,55.0,2.0,0,78.6,8.0,4.0,50.0,25.0,
21,Celta Vigo,2021-01-31,Visitante,E,0.0,0.0,Granada,66.0,0.0,5,77.8,7.0,1.0,14.3,0.0,
22,Celta Vigo,2021-02-08,Visitante,E,2.0,2.0,Atlético Madrid,54.0,4.0,4,82.7,7.0,2.0,28.6,100.0,
23,Celta Vigo,2021-02-12,Em casa,V,3.0,1.0,Elche,50.0,4.0,3,76.9,8.0,6.0,75.0,50.0,
24,Celta Vigo,2021-02-20,Visitante,D,0.0,2.0,Valencia,43.0,2.0,1,75.6,5.0,2.0,40.0,0.0,
25,Celta Vigo,2021-02-28,Em casa,E,1.0,1.0,Valladolid,66.0,2.0,3,82.7,11.0,2.0,18.2,50.0,
1,Osasuna,2020-09-12,Visitante,V,2.0,0.0,Cádiz,47.0,2.0,2,63.3,6.0,3.0,50.0,67.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/03c57e2b.png
2,Osasuna,2020-09-19,Visitante,D,0.0,1.0,Getafe,45.0,1.0,1,57.7,10.0,3.0,30.0,0.0,
3,Osasuna,2020-09-27,Em casa,D,1.0,3.0,Levante,42.0,4.0,3,63.1,8.0,3.0,37.5,33.0,
4,Osasuna,2021-01-12,Visitante,D,0.0,2.0,Granada,59.0,2.0,4,72.0,15.0,3.0,20.0,0.0,
5,Osasuna,2020-10-04,Em casa,V,2.0,0.0,Celta Vigo,40.0,2.0,6,65.8,13.0,4.0,30.8,50.0,
6,Osasuna,2020-10-18,Visitante,E,0.0,0.0,Eibar,47.0,0.0,7,60.8,8.0,2.0,25.0,0.0,
7,Osasuna,2020-10-24,Em casa,V,1.0,0.0,Athletic Club,39.0,1.0,2,69.0,6.0,1.0,16.7,0.0,
8,Osasuna,2020-10-31,Em casa,D,1.0,3.0,Atlético Madrid,45.0,4.0,3,71.2,8.0,3.0,37.5,33.0,
9,Osasuna,2020-11-07,Visitante,D,0.0,1.0,Sevilla,34.0,1.0,0,71.4,10.0,2.0,20.0,0.0,
10,Osasuna,2020-11-20,Em casa,E,1.0,1.0,Huesca,55.0,2.0,4,73.5,18.0,7.0,38.9,14.0,
11,Osasuna,2020-11-29,Visitante,D,0.0,4.0,Barcelona,29.0,4.0,3,75.2,10.0,5.0,50.0,0.0,
12,Osasuna,2020-12-06,Em casa,D,0.0,2.0,Betis,50.0,2.0,2,67.1,11.0,1.0,9.1,0.0,
13,Osasuna,2020-12-11,Visitante,D,2.0,3.0,Valladolid,52.0,5.0,3,69.1,13.0,6.0,46.2,33.0,
14,Osasuna,2020-12-19,Em casa,D,1.0,3.0,Villarreal,33.0,4.0,2,71.2,5.0,1.0,20.0,0.0,
15,Osasuna,2020-12-22,Visitante,E,2.0,2.0,Elche,35.0,4.0,4,74.0,15.0,6.0,40.0,33.0,
16,Osasuna,2020-12-31,Em casa,E,1.0,1.0,Alavés,33.0,2.0,5,56.8,8.0,2.0,25.0,50.0,
17,Osasuna,2021-01-03,Visitante,E,1.0,1.0,Real Sociedad,39.0,2.0,2,63.0,6.0,2.0,33.3,50.0,
18,Osasuna,2021-01-09,Em casa,E,0.0,0.0,Real Madrid,30.0,0.0,2,73.4,9.0,2.0,22.2,0.0,
19,Osasuna,2021-01-21,Visitante,E,1.0,1.0,Valencia,36.0,2.0,4,74.7,14.0,5.0,35.7,20.0,
20,Osasuna,2021-01-24,Em casa,V,3.0,1.0,Granada,48.0,4.0,1,64.7,7.0,4.0,57.1,75.0,
21,Osasuna,2021-02-01,Visitante,D,0.0,1.0,Betis,36.0,1.0,4,71.8,14.0,5.0,35.7,0.0,
22,Osasuna,2021-02-07,Em casa,V,2.0,1.0,Eibar,51.0,3.0,2,70.8,12.0,4.0,33.3,50.0,
23,Osasuna,2021-02-14,Visitante,V,1.0,0.0,Levante,37.0,1.0,1,64.6,7.0,3.0,42.9,33.0,
24,Osasuna,2021-02-22,Em casa,D,0.0,2.0,Sevilla,41.0,2.0,3,74.7,,,,,
25,Osasuna,2021-02-27,Visitante,V,1.0,0.0,Alavés,48.0,1.0,2,66.5,6.0,3.0,50.0,33.0,
