data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-01-30,OH Leuven,Beerschot,0,1,Vitória Visitante,0,0,D,14,14,3,7,6,4,15,12,3,2,0,0,10,1,3,2,5
2021-01-29,Antwerp,Waasland-Bev,3,2,Vitória Mandante,1,1,D,15,6,7,3,12,2,7,9,2,1,0,0,14,5,2,1,3
2021-01-28,Cercle Brugge,Club Brugge,1,2,Vitória Visitante,1,1,D,8,8,5,3,2,6,9,9,0,2,0,0,8,3,0,2,2
2021-01-28,Oostende,Standard Liège,2,2,Empate,1,0,H,9,21,3,5,8,12,15,5,2,0,0,0,20,4,2,0,2
2021-01-27,Beerschot,Kortrijk,0,0,Empate,0,0,D,4,20,1,4,4,9,11,12,1,2,0,0,13,0,1,2,3
2021-01-27,Genk,Zulte Waregem,3,2,Vitória Mandante,1,0,H,12,13,5,6,5,3,11,11,0,0,0,0,8,5,0,0,0
2021-01-27,Charleroi,OH Leuven,1,1,Empate,0,1,A,19,17,11,5,12,5,9,14,2,3,0,0,17,2,2,3,5
2021-01-27,Gent,Sint-Truiden,1,1,Empate,0,1,A,10,3,5,2,6,3,18,16,1,2,0,0,9,2,1,2,3
2021-01-26,Eupen,Antwerp,0,2,Vitória Visitante,0,2,A,19,11,4,4,5,4,10,8,2,1,0,0,9,2,2,1,3
2021-01-26,Excel Mouscron,Anderlecht,1,1,Empate,1,0,H,7,11,1,2,5,4,23,11,2,1,0,0,9,2,2,1,3
2021-01-26,Waasland-Bev,Mechelen,2,3,Vitória Visitante,0,2,A,9,17,6,7,6,10,13,13,2,1,0,0,16,5,2,1,3
2021-01-24,OH Leuven,Gent,0,3,Vitória Visitante,0,1,A,12,25,5,9,3,7,4,10,2,2,1,0,10,3,3,2,5
2021-01-24,Standard Liège,Charleroi,3,2,Vitória Mandante,2,1,H,14,16,6,10,3,2,11,13,1,2,0,1,5,5,1,3,4
2021-01-24,Zulte Waregem,Beerschot,0,3,Vitória Visitante,0,0,D,9,9,2,5,6,3,13,16,0,0,0,0,9,3,0,0,0
2021-01-24,Club Brugge,Genk,3,2,Vitória Mandante,1,2,A,18,9,8,4,7,2,12,17,0,1,0,0,9,5,0,1,1
2021-01-23,Mechelen,Eupen,3,0,Vitória Mandante,1,0,H,14,12,8,4,5,10,9,16,3,1,0,0,15,3,3,1,4
2021-01-23,Kortrijk,Cercle Brugge,1,2,Vitória Visitante,1,2,A,16,11,3,5,8,7,13,9,2,1,0,0,15,3,2,1,3
2021-01-23,Antwerp,Oostende,1,2,Vitória Visitante,1,1,D,11,12,3,5,4,4,7,9,3,3,0,0,8,3,3,3,6
2021-01-23,Sint-Truiden,Excel Mouscron,0,2,Vitória Visitante,0,1,A,17,12,3,6,7,4,8,16,4,3,0,0,11,2,4,3,7
2021-01-22,Anderlecht,Waasland-Bev,0,0,Empate,0,0,D,26,4,10,0,13,1,9,9,1,0,0,0,14,0,1,0,1
2021-01-21,Genk,Gent,1,1,Empate,1,1,D,6,16,3,6,0,4,12,25,2,4,1,0,4,2,3,4,7
2021-01-21,Zulte Waregem,OH Leuven,2,3,Vitória Visitante,2,1,H,11,17,5,8,5,9,12,9,1,0,0,0,14,5,1,0,1
2021-01-20,Club Brugge,Oostende,2,1,Vitória Mandante,1,1,D,14,10,6,4,5,3,11,12,1,1,0,0,8,3,1,1,2
2021-01-20,Antwerp,Cercle Brugge,1,0,Vitória Mandante,0,0,D,10,8,1,1,2,8,9,14,2,3,0,0,10,1,2,3,5
2021-01-20,Mechelen,Standard Liège,0,4,Vitória Visitante,0,1,A,13,11,3,5,4,0,17,14,1,1,0,0,4,4,1,1,2
2021-01-20,Eupen,Beerschot,3,1,Vitória Mandante,2,1,H,13,5,5,3,7,4,8,14,0,2,0,1,11,4,0,3,3
2021-01-20,Kortrijk,Sint-Truiden,0,2,Vitória Visitante,0,2,A,29,8,7,2,9,1,14,12,2,0,0,0,10,2,2,0,2
2021-01-19,Anderlecht,Charleroi,3,0,Vitória Mandante,2,0,H,15,4,4,0,6,4,2,16,0,3,0,0,10,3,0,3,3
2021-01-19,Excel Mouscron,Waasland-Bev,1,1,Empate,0,0,D,14,8,4,4,6,6,14,12,4,1,0,0,12,2,4,1,5
2021-01-17,Gent,Antwerp,0,1,Vitória Visitante,0,0,D,10,7,4,1,5,4,14,8,1,3,0,0,9,1,1,3,4
2021-01-17,Sint-Truiden,OH Leuven,3,1,Vitória Mandante,2,1,H,12,9,4,4,2,4,11,17,2,0,0,1,6,4,2,1,3
2021-01-17,Cercle Brugge,Standard Liège,0,1,Vitória Visitante,0,1,A,7,5,0,3,7,3,22,13,1,1,0,0,10,1,1,1,2
2021-01-17,Beerschot,Club Brugge,0,3,Vitória Visitante,0,2,A,10,15,4,6,5,7,15,6,3,2,0,0,12,3,3,2,5
2021-01-16,Oostende,Kortrijk,2,1,Vitória Mandante,1,0,H,7,11,2,2,2,2,20,13,2,1,0,0,4,3,2,1,3
2021-01-16,Excel Mouscron,Genk,2,0,Vitória Mandante,1,0,H,17,12,12,2,8,4,20,16,2,2,0,1,12,2,2,3,5
2021-01-16,Waasland-Bev,Zulte Waregem,1,5,Vitória Visitante,0,2,A,13,18,7,10,8,1,8,7,2,1,0,0,9,6,2,1,3
2021-01-16,Charleroi,Mechelen,0,1,Vitória Visitante,0,0,D,10,10,5,1,7,4,14,21,1,1,0,0,11,1,1,1,2
2021-01-15,Eupen,Anderlecht,2,0,Vitória Mandante,0,0,D,18,12,4,5,3,3,16,9,2,3,0,1,6,2,2,4,6
2021-01-13,Beerschot,Cercle Brugge,1,1,Empate,1,0,H,3,14,1,2,2,7,9,12,2,1,0,0,9,2,2,1,3
2021-01-03,OH Leuven,Antwerp,2,0,Vitória Mandante,2,0,H,10,13,6,6,2,5,10,15,1,2,0,0,7,2,1,2,3
2020-12-30,Sint-Truiden,Beerschot,1,0,Vitória Mandante,1,0,H,9,12,3,4,6,3,10,14,3,0,0,0,9,1,3,0,3
2020-12-29,Eupen,Zulte Waregem,2,3,Vitória Visitante,1,0,H,17,16,7,9,3,6,21,8,3,2,0,0,9,5,3,2,5
2020-12-27,Mechelen,Excel Mouscron,2,1,Vitória Mandante,1,0,H,10,16,5,6,5,3,8,15,0,1,0,0,8,3,0,1,1
2020-12-27,Anderlecht,Beerschot,2,0,Vitória Mandante,1,0,H,27,8,6,2,7,1,9,20,1,4,0,0,8,2,1,4,5
