,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
6,Freiburg,2020-11-01,Em casa,D,2.0,4.0,Leverkusen,40.0,6.0,4,74.9,8,5,62.5,40,
7,Freiburg,2020-11-07,Visitante,D,0.0,3.0,RB Leipzig,44.0,3.0,4,74.7,9,3,33.3,0,
8,Freiburg,2020-11-22,Em casa,D,1.0,3.0,Mainz 05,70.0,4.0,9,85.4,21,6,28.6,17,
9,Freiburg,2020-11-28,Visitante,E,1.0,1.0,Augsburg,42.0,2.0,1,74.1,10,5,50.0,20,
10,Freiburg,2020-12-05,Em casa,E,2.0,2.0,M'Gladbach,39.0,4.0,5,74.1,21,6,28.6,17,
11,Freiburg,2020-12-12,Em casa,V,2.0,0.0,Arminia,47.0,2.0,5,81.0,15,6,40.0,17,
12,Freiburg,2020-12-16,Visitante,V,2.0,0.0,Schalke 04,46.0,2.0,3,78.3,12,3,25.0,67,
13,Freiburg,2020-12-20,Em casa,V,4.0,1.0,Hertha BSC,43.0,5.0,7,69.8,17,8,47.1,38,
14,Freiburg,2021-01-02,Visitante,V,3.0,1.0,Hoffenheim,32.0,4.0,3,68.3,8,4,50.0,25,
15,Freiburg,2021-01-09,Em casa,V,5.0,0.0,Köln,50.0,5.0,1,78.2,13,6,46.2,83,
16,Freiburg,2021-01-17,Visitante,D,1.0,2.0,Bayern Munich,41.0,3.0,3,76.6,8,3,37.5,33,
17,Freiburg,2021-01-20,Em casa,E,2.0,2.0,Eint Frankfurt,38.0,4.0,4,62.3,10,4,40.0,50,
18,Freiburg,2021-01-23,Em casa,V,2.0,1.0,Stuttgart,38.0,3.0,3,67.7,10,5,50.0,40,
19,Freiburg,2021-01-31,Visitante,D,0.0,3.0,Wolfsburg,55.0,3.0,10,75.0,11,2,18.2,0,
20,Freiburg,2021-02-06,Em casa,V,2.0,1.0,Dortmund,33.0,3.0,1,72.4,6,3,50.0,67,
21,Freiburg,2021-02-13,Visitante,E,0.0,0.0,Werder Bremen,53.0,0.0,1,85.6,8,2,25.0,0,
22,Freiburg,2021-02-20,Em casa,D,0.0,1.0,Union Berlin,65.0,1.0,2,83.0,9,1,11.1,0,
23,Freiburg,2021-02-28,Visitante,V,2.0,1.0,Leverkusen,34.0,3.0,3,70.7,6,3,50.0,67,
1,M'Gladbach,2020-09-19,Visitante,D,0.0,3.0,Dortmund,52.0,3.0,3,88.4,8,2,25.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/32f3ee20.png
2,M'Gladbach,2020-09-26,Em casa,E,1.0,1.0,Union Berlin,62.0,2.0,7,84.6,14,6,42.9,17,
3,M'Gladbach,2020-10-03,Visitante,V,3.0,1.0,Köln,59.0,4.0,10,83.6,14,9,64.3,22,
4,M'Gladbach,2020-10-17,Em casa,E,1.0,1.0,Wolfsburg,47.0,2.0,5,73.8,12,1,8.3,0,
5,M'Gladbach,2020-10-24,Visitante,V,3.0,2.0,Mainz 05,59.0,5.0,7,82.7,20,8,40.0,25,
6,M'Gladbach,2020-10-31,Em casa,V,1.0,0.0,RB Leipzig,48.0,1.0,2,79.2,5,3,60.0,33,
7,M'Gladbach,2020-11-08,Visitante,D,3.0,4.0,Leverkusen,41.0,7.0,2,75.5,14,5,35.7,40,
8,M'Gladbach,2020-11-21,Em casa,E,1.0,1.0,Augsburg,53.0,2.0,2,81.7,15,6,40.0,17,
9,M'Gladbach,2020-11-28,Em casa,V,4.0,1.0,Schalke 04,57.0,5.0,5,83.2,18,9,50.0,44,
10,M'Gladbach,2020-12-05,Visitante,E,2.0,2.0,Freiburg,61.0,4.0,5,83.6,12,4,33.3,50,
11,M'Gladbach,2020-12-12,Em casa,E,1.0,1.0,Hertha BSC,56.0,2.0,13,76.3,15,3,20.0,33,
12,M'Gladbach,2020-12-15,Visitante,E,3.0,3.0,Eint Frankfurt,60.0,6.0,5,75.8,7,3,42.9,67,
13,M'Gladbach,2020-12-19,Em casa,D,1.0,2.0,Hoffenheim,47.0,3.0,3,81.0,14,4,28.6,0,
14,M'Gladbach,2021-01-02,Visitante,V,1.0,0.0,Arminia,59.0,1.0,12,80.1,22,7,31.8,14,
15,M'Gladbach,2021-01-08,Em casa,V,3.0,2.0,Bayern Munich,33.0,5.0,3,79.5,8,4,50.0,75,
16,M'Gladbach,2021-01-16,Visitante,E,2.0,2.0,Stuttgart,40.0,4.0,2,77.3,7,4,57.1,25,
17,M'Gladbach,2021-01-19,Em casa,V,1.0,0.0,Werder Bremen,60.0,1.0,7,82.6,11,6,54.5,17,
18,M'Gladbach,2021-01-22,Em casa,V,4.0,2.0,Dortmund,43.0,6.0,3,79.5,10,7,70.0,57,
19,M'Gladbach,2021-01-30,Visitante,E,1.0,1.0,Union Berlin,57.0,2.0,9,86.6,14,4,28.6,25,
20,M'Gladbach,2021-02-06,Em casa,D,1.0,2.0,Köln,64.0,3.0,4,86.2,10,2,20.0,50,
21,M'Gladbach,2021-02-14,Visitante,E,0.0,0.0,Wolfsburg,45.0,0.0,6,75.3,12,3,25.0,0,
22,M'Gladbach,2021-02-20,Em casa,D,1.0,2.0,Mainz 05,69.0,3.0,4,84.5,12,4,33.3,25,
23,M'Gladbach,2021-02-27,Visitante,D,2.0,3.0,RB Leipzig,34.0,5.0,4,66.9,4,1,25.0,100,
1,Stuttgart,2020-09-19,Em casa,D,2.0,3.0,Freiburg,64.0,5.0,7,81.9,26,6,23.1,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/598bc722.png
2,Stuttgart,2020-09-26,Visitante,V,4.0,1.0,Mainz 05,51.0,5.0,9,78.3,13,7,53.8,57,
3,Stuttgart,2020-10-03,Em casa,E,1.0,1.0,Leverkusen,48.0,2.0,7,77.4,12,2,16.7,50,
