clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Lens,2021-04-18,33,Visitante,E,1,1,Brest,54,2,
Lens,2021-04-11,32,Em casa,V,4,1,Lorient,37,5,
Lens,2021-04-03,31,Em casa,E,1,1,Lyon,40,2,
Lens,2021-03-21,30,Visitante,V,2,1,Strasbourg,40,3,
Lens,2021-03-14,29,Em casa,E,2,2,Metz,54,4,
Lens,2021-03-03,28,Visitante,V,3,2,Saint-Étienne,34,5,
Lens,2021-02-28,27,Visitante,E,2,2,Angers,61,4,
Lens,2021-02-21,26,Em casa,V,2,1,Dijon,54,3,
Lens,2021-02-13,25,Visitante,E,1,1,Reims,63,2,
Lens,2021-02-06,24,Em casa,E,0,0,Rennes,52,0,
Lens,2021-02-03,23,Em casa,E,2,2,Marseille,60,4,
Lens,2021-01-30,22,Visitante,V,2,1,Montpellier,44,3,
Lens,2021-01-23,21,Em casa,D,0,1,Nice,55,1,
Lens,2021-01-20, 9,Visitante,V,1,0,Marseille,53,1,
Lens,2021-01-17,20,Visitante,E,1,1,Nantes,59,2,
Lens,2021-01-09,19,Em casa,D,0,1,Strasbourg,64,1,
Lens,2021-01-06,18,Visitante,D,2,3,Lyon,50,5,
Lens,2020-12-23,17,Em casa,V,2,1,Brest,47,3,
Lens,2020-12-19,16,Visitante,D,0,2,Metz,61,2,
Lens,2020-12-16,15,Visitante,V,3,0,Monaco,67,3,
Lens,2020-12-12,14,Em casa,D,2,3,Montpellier,60,5,
Lens,2020-12-05,13,Visitante,V,2,0,Rennes,39,2,
Lens,2020-11-29,12,Em casa,D,1,3,Angers,64,4,
Lens,2020-11-25, 8,Em casa,E,1,1,Nantes,49,2,
Lens,2020-11-22,11,Visitante,V,1,0,Dijon,47,1,
Lens,2020-11-08,10,Em casa,E,4,4,Reims,63,8,
Lens,2020-10-18, 7,Visitante,D,0,4,Lille,43,4,
Lens,2020-10-03, 6,Em casa,V,2,0,Saint-Étienne,65,2,
Lens,2020-09-27, 5,Visitante,E,1,1,Nîmes,50,2,
Lens,2020-09-19, 4,Em casa,V,2,1,Bordeaux,59,3,
Lens,2020-09-13, 3,Visitante,V,3,2,Lorient,53,5,
Lens,2020-09-10, 2,Em casa,V,1,0,Paris S-G,23,1,
Lens,2020-08-23, 1,Visitante,D,1,2,Nice,43,3,
Montpellier,2021-05-23,38,Visitante,V,2,1,Nantes,52,3,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/281b0e73.png
Montpellier,2021-05-16,37,Em casa,E,0,0,Brest,43,0,
Montpellier,2021-05-09,36,Visitante,V,3,2,Strasbourg,43,5,
Montpellier,2021-05-02,35,Em casa,D,1,2,Saint-Étienne,45,3,
Montpellier,2021-04-25,34,Visitante,D,1,3,Nice,42,4,
Montpellier,2021-04-16,33,Visitante,E,1,1,Lille,37,2,
Montpellier,2021-04-10,32,Em casa,E,3,3,Marseille,44,6,
Montpellier,2021-04-04,31,Visitante,E,1,1,Angers,38,2,
Montpellier,2021-03-21,30,Em casa,V,3,1,Bordeaux,45,4,
Montpellier,2021-03-14,29,Visitante,E,1,1,Nîmes,59,2,
Montpellier,2021-03-03,28,Em casa,E,1,1,Lorient,54,2,
Montpellier,2021-02-28,27,Visitante,E,0,0,Reims,43,0,
Montpellier,2021-02-21,26,Em casa,V,2,1,Rennes,35,3,
Montpellier,2021-02-13,25,Visitante,V,2,1,Lyon,45,3,
Montpellier,2021-02-07,24,Em casa,V,4,2,Dijon,58,6,
Montpellier,2021-02-03,23,Visitante,E,1,1,Metz,55,2,
Montpellier,2021-01-30,22,Em casa,D,1,2,Lens,56,3,
Montpellier,2021-01-22,21,Visitante,D,0,4,Paris S-G,28,4,
Montpellier,2021-01-15,20,Em casa,D,2,3,Monaco,52,5,
Montpellier,2021-01-09,19,Em casa,E,1,1,Nantes,48,2,
Montpellier,2021-01-06,18,Visitante,D,1,3,Marseille,44,4,
Montpellier,2020-12-23,17,Em casa,D,2,3,Lille,47,5,
Montpellier,2020-12-20,16,Visitante,E,2,2,Brest,44,4,
Montpellier,2020-12-16,15,Em casa,D,0,2,Metz,58,2,
Montpellier,2020-12-12,14,Visitante,V,3,2,Lens,40,5,
Montpellier,2020-12-05,13,Em casa,D,1,3,Paris S-G,36,4,
Montpellier,2020-11-29,12,Visitante,V,1,0,Lorient,57,1,
Montpellier,2020-11-22,11,Em casa,V,4,3,Strasbourg,57,7,
Montpellier,2020-11-07,10,Visitante,V,2,0,Bordeaux,48,2,
Montpellier,2020-11-01, 9,Visitante,V,1,0,Saint-Étienne,46,1,
Montpellier,2020-10-25, 8,Em casa,D,0,4,Reims,34,4,
Montpellier,2020-10-18, 7,Visitante,E,1,1,Monaco,21,2,
Montpellier,2020-10-04, 6,Em casa,D,0,1,Nîmes,52,1,
Montpellier,2020-09-27, 5,Visitante,E,2,2,Dijon,61,4,
Montpellier,2020-09-20, 4,Em casa,V,4,1,Angers,51,5,
Montpellier,2020-09-15, 1,Em casa,V,2,1,Lyon,44,3,
Montpellier,2020-09-12, 3,Em casa,V,3,1,Nice,39,4,
Montpellier,2020-08-29, 2,Visitante,D,1,2,Rennes,35,3,
Nice,2021-05-23,38,Visitante,V,3,2,Lyon,44,5,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/132ebc33.png
Nice,2021-05-16,37,Em casa,D,0,2,Strasbourg,71,2,
Nice,2021-05-09,36,Em casa,V,3,2,Brest,64,5,
Nice,2021-05-01,35,Visitante,D,0,2,Lille,45,2,
Nice,2021-04-25,34,Em casa,V,3,1,Montpellier,58,4,
Nice,2021-04-18,33,Visitante,D,0,2,Dijon,56,2,
Nice,2021-04-11,32,Em casa,E,0,0,Reims,54,0,
Nice,2021-04-04,31,Visitante,V,2,1,Nantes,50,3,
Nice,2021-03-20,30,Em casa,V,3,0,Marseille,43,3,
Nice,2021-03-14,29,Visitante,E,1,1,Lorient,50,2,
Nice,2021-03-03,28,Em casa,V,2,1,Nîmes,54,3,
Nice,2021-02-26,27,Visitante,V,2,1,Rennes,39,3,
Nice,2021-02-21,26,Em casa,D,1,2,Metz,65,3,
Nice,2021-02-17,11,Visitante,D,2,3,Marseille,55,5,
Nice,2021-02-13,25,Visitante,D,1,2,Paris S-G,46,3,
Nice,2021-02-07,24,Em casa,V,3,0,Angers,51,3,
Nice,2021-02-03,23,Visitante,D,1,2,Monaco,58,3,
Nice,2021-01-31,22,Em casa,D,0,1,Saint-Étienne,46,1,
Nice,2021-01-23,21,Visitante,V,1,0,Lens,45,1,
Nice,2021-01-17,20,Em casa,D,0,3,Bordeaux,49,3,
Nice,2021-01-09,19,Visitante,E,1,1,Metz,56,2,
Nice,2021-01-06,18,Visitante,D,0,2,Brest,62,2,
Nice,2020-12-23,17,Em casa,E,2,2,Lorient,42,4,
Nice,2020-12-19,16,Em casa,D,1,4,Lyon,55,5,
Nice,2020-12-16,15,Visitante,V,2,0,Nîmes,55,2,
Nice,2020-12-13,14,Em casa,D,0,1,Rennes,54,1,
Nice,2020-12-06,13,Visitante,E,0,0,Reims,64,0,
Nice,2020-11-29,12,Em casa,D,1,3,Dijon,62,4,
Nice,2020-11-08,10,Em casa,D,1,2,Monaco,63,3,
Nice,2020-11-01, 9,Visitante,V,3,0,Angers,48,3,
Nice,2020-10-25, 8,Em casa,E,1,1,Lille,53,2,
Nice,2020-10-18, 7,Visitante,V,3,1,Saint-Étienne,54,4,
