,clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol_%,chutes_por_gol,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,chutes_contra_o_gol,defesas_%,sem_vazamento,escudo
0,Roma,2021-03-14,27,Visitante,D,0.0,2.0,Parma,58.0,2.0,12,84.5,21,23.8,0.0,3,0,17,3,66.7,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/cf74a709.png
1,Roma,2021-03-07,26,Em casa,V,1.0,0.0,Genoa,55.0,1.0,7,85.5,17,11.8,17.0,1,0,17,2,100.0,1,
2,Roma,2021-03-03,25,Visitante,V,2.0,1.0,Fiorentina,59.0,3.0,3,80.4,12,50.0,6.0,2,0,16,2,50.0,0,
3,Roma,2021-02-28,24,Em casa,D,1.0,2.0,Milan,53.0,3.0,5,82.2,18,44.4,18.0,3,0,16,8,87.5,0,
4,Roma,2021-02-21,23,Visitante,E,0.0,0.0,Benevento,71.0,0.0,9,81.8,11,27.3,0.0,1,0,19,3,100.0,1,
5,Roma,2021-02-14,22,Em casa,V,3.0,0.0,Udinese,51.0,3.0,7,83.0,12,33.3,4.0,2,0,19,1,100.0,1,
6,Roma,2021-02-06,21,Visitante,D,0.0,2.0,Juventus,52.0,2.0,9,84.6,14,21.4,0.0,2,0,15,2,0.0,0,
7,Roma,2021-01-31,20,Em casa,V,3.0,1.0,Hellas Verona,49.0,4.0,4,77.6,16,43.8,5.333333333333333,2,0,20,1,0.0,0,
8,Roma,2021-01-23,19,Em casa,V,4.0,3.0,Spezia,48.0,7.0,3,82.8,14,50.0,3.5,3,0,13,3,0.0,0,
9,Roma,2021-01-15,18,Visitante,D,0.0,3.0,Lazio,60.0,3.0,7,84.5,7,28.6,0.0,4,0,20,8,62.5,0,
10,Roma,2021-01-10,17,Em casa,E,2.0,2.0,Inter,51.0,4.0,3,87.6,14,57.1,7.0,3,0,21,6,66.7,0,
11,Roma,2021-01-06,16,Visitante,V,3.0,1.0,Crotone,49.0,4.0,4,81.9,11,27.3,3.6666666666666665,3,0,20,4,75.0,0,
12,Roma,2021-01-03,15,Em casa,V,1.0,0.0,Sampdoria,64.0,1.0,8,86.5,20,30.0,20.0,3,0,20,2,100.0,1,
13,Roma,2020-12-23,14,Em casa,V,3.0,2.0,Cagliari,61.0,5.0,6,83.1,15,53.3,5.0,3,0,20,1,0.0,0,
14,Roma,2020-12-20,13,Visitante,D,1.0,4.0,Atalanta,45.0,5.0,2,79.3,5,60.0,5.0,3,0,15,8,50.0,0,
15,Roma,2020-12-17,12,Em casa,V,3.0,1.0,Torino,62.0,4.0,4,88.3,12,33.3,4.0,4,0,23,5,80.0,0,
16,Roma,2020-12-13,11,Visitante,V,5.0,1.0,Bologna,47.0,6.0,5,80.4,15,46.7,3.0,2,0,9,1,0.0,0,
17,Roma,2020-12-06,10,Em casa,E,0.0,0.0,Sassuolo,44.0,0.0,12,81.1,16,6.3,0.0,5,1,13,1,100.0,1,
18,Roma,2020-11-29, 9,Visitante,D,0.0,4.0,Napoli,45.0,4.0,4,83.9,8,12.5,0.0,2,0,12,8,50.0,0,
19,Roma,2020-11-22, 8,Em casa,V,3.0,0.0,Parma,58.0,3.0,4,89.7,20,35.0,6.666666666666667,0,0,12,1,100.0,1,
20,Roma,2020-11-08, 7,Visitante,V,3.0,1.0,Genoa,50.0,4.0,8,79.7,18,50.0,6.0,0,0,12,5,80.0,0,
21,Roma,2020-11-01, 6,Em casa,V,2.0,0.0,Fiorentina,41.0,2.0,7,78.1,17,35.3,8.5,3,0,18,1,100.0,1,
22,Roma,2020-10-26, 5,Visitante,E,3.0,3.0,Milan,45.0,6.0,7,83.7,11,54.5,3.6666666666666665,2,0,15,7,71.4,0,
23,Roma,2020-10-18, 4,Em casa,V,5.0,2.0,Benevento,52.0,7.0,6,82.9,19,31.6,3.8,3,0,18,3,33.3,0,
24,Roma,2020-10-03, 3,Visitante,V,1.0,0.0,Udinese,55.0,1.0,1,84.1,14,21.4,14.0,0,0,9,4,100.0,1,
25,Roma,2020-09-27, 2,Em casa,E,2.0,2.0,Juventus,40.0,4.0,5,83.4,10,40.0,5.0,2,0,21,2,50.0,0,
26,Roma,2020-09-19, 1,Visitante,D,0.0,3.0,Hellas Verona,60.0,3.0,6,77.0,21,19.0,0.0,0,0,21,3,,0,
0,Lazio,2021-03-12,27,Em casa,V,3.0,2.0,Crotone,63.0,5.0,5,85.6,25,24.0,8.333333333333334,0,0,9,2,50.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/7213da33.png
1,Lazio,2021-03-06,26,Visitante,D,1.0,3.0,Juventus,47.0,4.0,4,86.1,15,26.7,15.0,1,0,14,4,50.0,0,
2,Lazio,2021-02-27,24,Visitante,D,0.0,2.0,Bologna,59.0,2.0,7,80.3,20,30.0,0.0,2,0,21,6,66.7,0,
3,Lazio,2021-02-20,23,Em casa,V,1.0,0.0,Sampdoria,56.0,1.0,4,83.5,12,50.0,12.0,4,0,17,0,,1,
4,Lazio,2021-02-14,22,Visitante,D,1.0,3.0,Inter,65.0,4.0,0,85.0,14,42.9,14.0,1,0,5,6,66.7,0,
5,Lazio,2021-02-07,21,Em casa,V,1.0,0.0,Cagliari,63.0,1.0,12,82.6,14,35.7,14.0,2,0,17,2,100.0,1,
6,Lazio,2021-01-31,20,Visitante,V,3.0,1.0,Atalanta,45.0,4.0,2,71.8,14,50.0,4.666666666666667,2,0,24,2,50.0,0,
7,Lazio,2021-01-24,19,Em casa,V,2.0,1.0,Sassuolo,50.0,3.0,9,84.3,20,30.0,10.0,2,0,17,1,0.0,0,
8,Lazio,2021-01-15,18,Em casa,V,3.0,0.0,Roma,40.0,3.0,1,79.6,8,100.0,2.6666666666666665,5,0,13,2,100.0,1,
9,Lazio,2021-01-10,17,Visitante,V,2.0,0.0,Parma,53.0,2.0,6,83.4,21,23.8,10.5,1,0,8,3,100.0,1,
10,Lazio,2021-01-06,16,Em casa,V,2.0,1.0,Fiorentina,45.0,3.0,2,83.4,13,23.1,6.5,3,0,13,4,100.0,0,
11,Lazio,2021-01-03,15,Visitante,E,1.0,1.0,Genoa,61.0,2.0,9,81.4,11,18.2,11.0,4,0,20,3,66.7,0,
12,Lazio,2020-12-23,14,Visitante,D,2.0,3.0,Milan,60.0,5.0,6,82.8,14,42.9,7.0,4,0,17,4,50.0,0,
13,Lazio,2020-12-20,13,Em casa,V,2.0,0.0,Napoli,40.0,2.0,4,81.4,10,20.0,5.0,4,0,16,6,100.0,1,
14,Lazio,2020-12-15,12,Visitante,E,1.0,1.0,Benevento,63.0,2.0,8,88.1,13,15.4,13.0,2,0,16,6,83.3,0,
15,Lazio,2020-12-12,11,Em casa,D,1.0,2.0,Hellas Verona,58.0,3.0,5,77.6,12,33.3,12.0,5,0,14,4,50.0,0,
16,Lazio,2020-12-05,10,Visitante,V,2.0,1.0,Spezia,35.0,3.0,0,74.9,4,50.0,2.0,1,0,13,4,75.0,0,
17,Lazio,2020-11-29, 9,Em casa,D,1.0,3.0,Udinese,55.0,4.0,4,84.7,10,50.0,10.0,3,0,18,4,25.0,0,
18,Lazio,2020-11-21, 8,Visitante,V,2.0,0.0,Crotone,48.0,2.0,6,66.3,15,60.0,7.5,4,0,11,4,100.0,1,
19,Lazio,2020-11-08, 7,Em casa,E,1.0,1.0,Juventus,54.0,2.0,4,85.6,14,21.4,14.0,2,0,15,5,80.0,0,
20,Lazio,2020-11-01, 6,Visitante,V,4.0,3.0,Torino,55.0,7.0,1,86.6,11,27.3,2.75,4,0,14,3,33.3,0,
21,Lazio,2020-10-24, 5,Em casa,V,2.0,1.0,Bologna,49.0,3.0,8,78.0,10,40.0,5.0,3,0,15,6,83.3,0,
22,Lazio,2020-10-17, 4,Visitante,D,0.0,3.0,Sampdoria,48.0,3.0,3,81.8,10,0.0,0.0,2,0,14,7,57.1,0,
23,Lazio,2020-10-04, 3,Em casa,E,1.0,1.0,Inter,40.0,2.0,7,82.9,13,30.8,13.0,3,1,16,4,75.0,0,
24,Lazio,2020-09-30, 1,Em casa,D,1.0,4.0,Atalanta,60.0,5.0,7,83.0,14,35.7,14.0,7,0,16,6,33.3,0,
25,Lazio,2020-09-26, 2,Visitante,V,2.0,0.0,Cagliari,55.0,2.0,6,83.2,16,43.8,8.0,1,0,15,2,100.0,1,
