,clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol_%,chutes_por_gol,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,chutes_contra_o_gol,defesas_%,sem_vazamento,escudo
13,Spezia,2020-12-23,14,Em casa,D,1.0,2.0,Genoa,67.0,3.0,4,83.2,8,50.0,8.0,3,0,19,4,75.0,0,
14,Spezia,2020-12-20,13,Visitante,D,1.0,2.0,Inter,58.0,3.0,2,86.4,7,14.3,7.0,2,0,10,4,75.0,0,
15,Spezia,2020-12-16,12,Em casa,E,2.0,2.0,Bologna,45.0,4.0,3,68.2,10,40.0,5.0,6,0,22,5,60.0,0,
16,Spezia,2020-12-12,11,Visitante,D,1.0,4.0,Crotone,59.0,5.0,4,80.5,10,50.0,10.0,3,0,14,7,42.9,0,
17,Spezia,2020-12-05,10,Em casa,D,1.0,2.0,Lazio,65.0,3.0,7,86.4,15,26.7,15.0,3,0,15,2,0.0,0,
18,Spezia,2020-11-29, 9,Visitante,E,2.0,2.0,Cagliari,60.0,4.0,5,81.6,14,28.6,7.0,4,0,19,5,60.0,0,
19,Spezia,2020-11-21, 8,Em casa,E,0.0,0.0,Atalanta,55.0,0.0,1,77.7,9,22.2,0.0,3,0,22,4,100.0,1,
20,Spezia,2020-11-07, 7,Visitante,V,3.0,0.0,Benevento,61.0,3.0,4,83.4,11,54.5,3.6666666666666665,3,0,20,1,100.0,1,
21,Spezia,2020-11-01, 6,Em casa,D,1.0,4.0,Juventus,44.0,5.0,4,84.2,16,18.8,16.0,3,0,17,3,0.0,0,
22,Spezia,2020-10-25, 5,Visitante,E,2.0,2.0,Parma,52.0,4.0,3,81.6,14,42.9,7.0,2,0,22,5,80.0,0,
23,Spezia,2020-10-18, 4,Em casa,E,2.0,2.0,Fiorentina,52.0,4.0,5,84.2,13,15.4,6.5,2,0,16,3,33.3,0,
24,Spezia,2020-10-04, 3,Visitante,D,0.0,3.0,Milan,39.0,3.0,6,75.6,4,50.0,0.0,2,0,19,5,40.0,0,
25,Spezia,2020-09-30, 1,Visitante,V,2.0,0.0,Udinese,52.0,2.0,2,82.4,4,50.0,2.0,5,1,17,4,100.0,2,
26,Spezia,2020-09-27, 2,Em casa,D,1.0,4.0,Sassuolo,34.0,5.0,3,79.9,12,41.7,12.0,2,0,16,5,40.0,0,
0,Benevento,2021-03-13,27,Em casa,D,1.0,4.0,Fiorentina,59.0,5.0,8,83.6,17,23.5,17.0,3,0,17,5,20.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/4fcb34fd.png
1,Benevento,2021-03-06,26,Visitante,E,1.0,1.0,Spezia,28.0,2.0,1,58.7,6,50.0,6.0,4,0,20,3,66.7,0,
2,Benevento,2021-03-03,25,Em casa,D,0.0,3.0,Hellas Verona,51.0,3.0,2,75.5,5,20.0,0.0,0,0,13,5,40.0,0,
3,Benevento,2021-02-28,24,Visitante,D,0.0,2.0,Napoli,39.0,2.0,2,80.3,4,75.0,0.0,2,0,19,5,60.0,0,
4,Benevento,2021-02-21,23,Em casa,E,0.0,0.0,Roma,29.0,0.0,1,69.1,6,50.0,0.0,4,1,12,3,100.0,1,
5,Benevento,2021-02-12,22,Visitante,E,1.0,1.0,Bologna,42.0,2.0,3,73.4,14,42.9,14.0,2,0,11,2,50.0,0,
6,Benevento,2021-02-07,21,Em casa,E,1.0,1.0,Sampdoria,36.0,2.0,2,66.6,12,25.0,12.0,4,0,19,6,83.3,0,
7,Benevento,2021-01-22,19,Em casa,E,2.0,2.0,Torino,39.0,4.0,6,68.4,10,20.0,5.0,1,0,17,5,60.0,0,
8,Benevento,2021-01-17,18,Visitante,D,1.0,4.0,Crotone,59.0,5.0,13,79.9,22,22.7,22.0,3,1,15,3,-33.3,0,
9,Benevento,2021-01-09,17,Em casa,D,1.0,4.0,Atalanta,42.0,5.0,1,73.8,5,40.0,5.0,3,0,14,12,66.7,0,
10,Benevento,2021-01-06,16,Visitante,V,2.0,1.0,Cagliari,39.0,3.0,6,77.6,10,40.0,5.0,3,0,14,5,80.0,0,
11,Benevento,2021-01-03,15,Em casa,D,0.0,2.0,Milan,61.0,2.0,12,84.0,24,20.8,0.0,1,0,10,1,0.0,0,
12,Benevento,2020-12-23,14,Visitante,V,2.0,0.0,Udinese,39.0,2.0,1,75.5,9,44.4,4.5,2,0,12,3,100.0,1,
13,Benevento,2020-12-20,13,Em casa,V,2.0,0.0,Genoa,44.0,2.0,6,71.7,11,18.2,5.5,1,0,9,2,100.0,1,
14,Benevento,2020-12-15,12,Em casa,E,1.0,1.0,Lazio,37.0,2.0,4,76.1,13,46.2,13.0,2,1,15,2,50.0,0,
15,Benevento,2020-12-11,11,Visitante,D,0.0,1.0,Sassuolo,52.0,1.0,10,83.2,30,13.3,0.0,4,0,15,1,100.0,0,
16,Benevento,2020-12-06,10,Visitante,E,0.0,0.0,Parma,44.0,0.0,3,78.8,8,25.0,0.0,4,0,12,0,,1,
17,Benevento,2020-11-28, 9,Em casa,E,1.0,1.0,Juventus,37.0,2.0,5,73.5,8,37.5,8.0,6,0,20,5,80.0,0,
18,Benevento,2020-11-22, 8,Visitante,V,1.0,0.0,Fiorentina,38.0,1.0,4,72.7,13,30.8,13.0,3,0,17,2,100.0,1,
19,Benevento,2020-11-07, 7,Em casa,D,0.0,3.0,Spezia,39.0,3.0,2,75.0,3,33.3,0.0,3,0,15,6,50.0,0,
20,Benevento,2020-11-02, 6,Visitante,D,1.0,3.0,Hellas Verona,55.0,4.0,5,77.1,15,33.3,15.0,4,1,18,6,50.0,0,
21,Benevento,2020-10-25, 5,Em casa,D,1.0,2.0,Napoli,35.0,3.0,3,70.8,9,33.3,9.0,3,0,18,5,60.0,0,
22,Benevento,2020-10-18, 4,Visitante,D,2.0,5.0,Roma,48.0,7.0,4,82.0,9,33.3,4.5,2,0,10,6,33.3,0,
23,Benevento,2020-10-04, 3,Em casa,V,1.0,0.0,Bologna,41.0,1.0,4,70.2,7,28.6,7.0,2,0,13,7,100.0,1,
24,Benevento,2020-09-30, 1,Em casa,D,2.0,5.0,Inter,34.0,7.0,5,77.7,11,54.5,5.5,1,0,10,8,37.5,0,
25,Benevento,2020-09-26, 2,Visitante,V,3.0,2.0,Sampdoria,60.0,5.0,4,80.8,14,35.7,4.666666666666667,1,0,14,3,33.3,0,
0,Torino,2021-03-14,27,Em casa,D,1.0,2.0,Inter,32.0,3.0,1,74.3,7,42.9,7.0,0,0,14,2,50.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/105360fe.png
1,Torino,2021-03-07,26,Visitante,D,2.0,4.0,Crotone,57.0,6.0,8,79.4,18,22.2,9.0,3,1,26,6,50.0,0,
2,Torino,2021-02-19,23,Visitante,V,1.0,0.0,Cagliari,53.0,1.0,3,69.4,10,50.0,10.0,2,0,22,1,100.0,1,
3,Torino,2021-02-13,22,Em casa,E,0.0,0.0,Genoa,45.0,0.0,3,72.7,11,18.2,0.0,2,0,17,2,100.0,1,
4,Torino,2021-02-06,21,Visitante,E,3.0,3.0,Atalanta,42.0,6.0,3,72.2,19,26.3,6.333333333333333,2,0,19,4,25.0,0,
5,Torino,2021-01-29,20,Em casa,E,1.0,1.0,Fiorentina,52.0,2.0,7,79.4,14,21.4,14.0,2,0,22,1,0.0,0,
6,Torino,2021-01-22,19,Visitante,E,2.0,2.0,Benevento,61.0,4.0,4,78.9,17,29.4,8.5,3,0,22,2,50.0,0,
7,Torino,2021-01-16,18,Em casa,E,0.0,0.0,Spezia,66.0,0.0,6,86.9,10,10.0,0.0,3,0,12,3,100.0,1,
8,Torino,2021-01-09,17,Visitante,D,0.0,2.0,Milan,54.0,2.0,5,83.8,9,22.2,0.0,2,0,17,3,66.7,0,
9,Torino,2021-01-06,16,Em casa,E,1.0,1.0,Hellas Verona,45.0,2.0,9,70.5,18,11.1,18.0,1,0,15,2,50.0,0,
10,Torino,2021-01-03,15,Visitante,V,3.0,0.0,Parma,43.0,3.0,3,76.3,12,41.7,4.0,2,0,18,4,100.0,1,
11,Torino,2020-12-23,14,Visitante,E,1.0,1.0,Napoli,36.0,2.0,3,79.2,10,30.0,10.0,3,0,15,6,83.3,0,
12,Torino,2020-12-20,13,Em casa,E,1.0,1.0,Bologna,52.0,2.0,4,81.1,15,26.7,15.0,1,0,16,6,83.3,0,
13,Torino,2020-12-17,12,Visitante,D,1.0,3.0,Roma,38.0,4.0,2,85.0,16,31.3,16.0,3,1,17,4,50.0,0,
14,Torino,2020-12-12,11,Em casa,D,2.0,3.0,Udinese,61.0,5.0,2,83.8,8,37.5,4.0,3,0,11,3,0.0,0,
15,Torino,2020-12-05,10,Visitante,D,1.0,2.0,Juventus,35.0,3.0,1,75.5,7,28.6,7.0,3,0,16,4,50.0,0,
16,Torino,2020-11-30, 9,Em casa,E,2.0,2.0,Sampdoria,53.0,4.0,6,82.6,14,50.0,7.0,1,0,19,2,0.0,0,
17,Torino,2020-11-22, 8,Visitante,D,2.0,4.0,Inter,44.0,6.0,1,81.4,12,41.7,6.0,2,0,19,3,0.0,0,
18,Torino,2020-11-08, 7,Em casa,E,0.0,0.0,Crotone,50.0,0.0,6,80.5,4,0.0,0.0,3,0,15,2,100.0,1,
19,Torino,2020-11-04, 3,Visitante,V,2.0,1.0,Genoa,48.0,3.0,2,81.9,7,14.3,3.5,4,0,20,2,50.0,0,
20,Torino,2020-11-01, 6,Em casa,D,3.0,4.0,Lazio,45.0,7.0,7,85.4,10,30.0,3.3333333333333335,2,0,11,3,0.0,0,
21,Torino,2020-10-23, 5,Visitante,E,3.0,3.0,Sassuolo,29.0,6.0,8,77.5,17,58.8,5.666666666666667,2,0,15,6,50.0,0,
22,Torino,2020-10-18, 4,Em casa,D,2.0,3.0,Cagliari,58.0,5.0,2,87.1,11,45.5,5.5,2,1,20,6,50.0,0,
23,Torino,2020-09-26, 2,Em casa,D,2.0,4.0,Atalanta,45.0,6.0,2,79.5,8,50.0,4.0,1,0,15,7,42.9,0,
24,Torino,2020-09-19, 1,Visitante,D,0.0,1.0,Fiorentina,50.0,1.0,1,81.4,6,50.0,0.0,1,0,21,6,83.3,0,
0,Cagliari,2021-03-14,27,Em casa,D,1.0,3.0,Juventus,51.0,4.0,8,83.6,12,33.3,12.0,0,0,15,5,60.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/c4260e09.png
1,Cagliari,2021-03-07,26,Visitante,E,2.0,2.0,Sampdoria,48.0,4.0,5,80.8,9,44.4,4.5,3,0,15,5,60.0,0,
2,Cagliari,2021-03-03,25,Em casa,V,1.0,0.0,Bologna,37.0,1.0,10,61.5,11,27.3,11.0,2,0,18,5,100.0,1,
3,Cagliari,2021-02-28,24,Visitante,V,2.0,0.0,Crotone,44.0,2.0,4,74.3,8,37.5,4.0,4,1,16,2,100.0,1,
4,Cagliari,2021-02-19,23,Em casa,D,0.0,1.0,Torino,47.0,1.0,8,65.3,18,5.6,0.0,3,0,20,5,80.0,0,
5,Cagliari,2021-02-14,22,Em casa,D,0.0,1.0,Atalanta,35.0,1.0,6,65.3,4,25.0,0.0,3,0,21,2,50.0,0,
6,Cagliari,2021-02-07,21,Visitante,D,0.0,1.0,Lazio,37.0,1.0,2,73.1,7,28.6,0.0,2,0,15,5,80.0,0,
7,Cagliari,2021-01-31,20,Em casa,E,1.0,1.0,Sassuolo,31.0,2.0,3,73.2,10,30.0,10.0,2,0,9,4,75.0,0,
8,Cagliari,2021-01-24,19,Visitante,D,0.0,1.0,Genoa,59.0,1.0,7,81.8,14,28.6,0.0,2,0,9,5,80.0,0,
9,Cagliari,2021-01-18,18,Em casa,D,0.0,2.0,Milan,44.0,2.0,7,80.3,17,11.8,0.0,2,0,11,5,80.0,0,
10,Cagliari,2021-01-10,17,Visitante,D,0.0,1.0,Fiorentina,48.0,1.0,5,78.5,8,12.5,0.0,3,0,14,4,75.0,0,
11,Cagliari,2021-01-06,16,Em casa,D,1.0,2.0,Benevento,61.0,3.0,7,84.2,12,41.7,12.0,4,1,19,4,50.0,0,
12,Cagliari,2021-01-03,15,Em casa,D,1.0,4.0,Napoli,38.0,5.0,3,83.6,8,12.5,8.0,4,1,12,10,70.0,0,
13,Cagliari,2020-12-23,14,Visitante,D,2.0,3.0,Roma,39.0,5.0,0,73.0,9,11.1,4.5,2,0,21,8,62.5,0,
14,Cagliari,2020-12-20,13,Em casa,E,1.0,1.0,Udinese,53.0,2.0,5,81.1,11,27.3,11.0,2,0,14,4,75.0,0,
15,Cagliari,2020-12-16,12,Visitante,E,0.0,0.0,Parma,42.0,0.0,5,81.8,8,50.0,0.0,1,0,11,2,100.0,1,
16,Cagliari,2020-12-13,11,Em casa,D,1.0,3.0,Inter,42.0,4.0,3,78.8,11,27.3,11.0,2,0,15,10,70.0,0,
17,Cagliari,2020-12-06,10,Visitante,E,1.0,1.0,Hellas Verona,49.0,2.0,5,74.1,13,23.1,13.0,0,0,16,3,66.7,0,
18,Cagliari,2020-11-29, 9,Em casa,E,2.0,2.0,Spezia,40.0,4.0,4,71.2,12,41.7,6.0,0,0,16,4,75.0,0,
19,Cagliari,2020-11-21, 8,Visitante,D,0.0,2.0,Juventus,34.0,2.0,1,82.4,4,0.0,0.0,2,0,7,6,66.7,0,
20,Cagliari,2020-11-07, 7,Em casa,V,2.0,0.0,Sampdoria,56.0,2.0,2,82.4,12,33.3,6.0,0,0,14,1,100.0,1,
21,Cagliari,2020-10-31, 6,Visitante,D,2.0,3.0,Bologna,49.0,5.0,3,73.8,7,42.9,3.5,3,0,21,9,66.7,0,
22,Cagliari,2020-10-25, 5,Em casa,V,4.0,2.0,Crotone,44.0,6.0,5,83.6,19,42.1,4.75,2,0,14,6,66.7,0,
23,Cagliari,2020-10-18, 4,Visitante,V,3.0,2.0,Torino,42.0,5.0,4,79.7,13,46.2,4.333333333333333,3,0,23,5,80.0,0,
24,Cagliari,2020-10-04, 3,Visitante,D,2.0,5.0,Atalanta,41.0,7.0,9,77.5,13,23.1,6.5,0,0,11,12,58.3,0,
25,Cagliari,2020-09-26, 2,Em casa,D,0.0,2.0,Lazio,45.0,2.0,3,80.8,9,22.2,0.0,1,0,8,7,71.4,0,
26,Cagliari,2020-09-20, 1,Visitante,E,1.0,1.0,Sassuolo,33.0,2.0,3,82.0,8,50.0,8.0,3,0,20,9,88.9,0,
0,Parma,2021-03-14,27,Em casa,V,2.0,0.0,Roma,42.0,2.0,0,81.5,6,50.0,3.0,3,0,21,5,100.0,1,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/eab4234c.png
1,Parma,2021-03-07,26,Visitante,E,3.0,3.0,Fiorentina,56.0,6.0,3,83.4,7,42.9,2.3333333333333335,3,0,18,2,-50.0,0,
2,Parma,2021-03-04,25,Em casa,D,1.0,2.0,Inter,52.0,3.0,2,85.6,12,16.7,12.0,0,0,11,6,66.7,0,
3,Parma,2021-02-27,24,Visitante,E,2.0,2.0,Spezia,47.0,4.0,2,75.4,11,45.5,5.5,4,0,20,4,50.0,0,
4,Parma,2021-02-21,23,Em casa,E,2.0,2.0,Udinese,47.0,4.0,3,84.0,15,26.7,7.5,7,0,18,3,33.3,0,
5,Parma,2021-02-15,22,Visitante,D,1.0,2.0,Hellas Verona,49.0,3.0,4,72.2,12,8.3,12.0,2,0,15,4,50.0,0,
6,Parma,2021-02-07,21,Em casa,D,0.0,3.0,Bologna,57.0,3.0,5,81.4,15,33.3,0.0,2,0,14,5,40.0,0,
7,Parma,2021-01-31,20,Visitante,D,0.0,2.0,Napoli,52.0,2.0,6,83.9,5,20.0,0.0,4,0,24,3,33.3,0,
8,Parma,2021-01-24,19,Em casa,D,0.0,2.0,Sampdoria,51.0,2.0,5,82.2,12,41.7,0.0,1,0,15,3,33.3,0,
9,Parma,2021-01-17,18,Visitante,E,1.0,1.0,Sassuolo,40.0,2.0,2,76.6,11,18.2,11.0,2,0,13,3,100.0,0,
10,Parma,2021-01-10,17,Em casa,D,0.0,2.0,Lazio,47.0,2.0,5,80.5,10,30.0,0.0,4,0,11,5,60.0,0,
11,Parma,2021-01-06,16,Visitante,D,0.0,3.0,Atalanta,49.0,3.0,3,85.2,2,0.0,0.0,1,0,7,6,50.0,0,
12,Parma,2021-01-03,15,Em casa,D,0.0,3.0,Torino,57.0,3.0,9,81.1,16,25.0,0.0,2,0,21,5,40.0,0,
13,Parma,2020-12-22,14,Visitante,D,1.0,2.0,Crotone,51.0,3.0,6,78.2,14,50.0,14.0,6,0,31,6,66.7,0,
14,Parma,2020-12-19,13,Em casa,D,0.0,4.0,Juventus,38.0,4.0,4,85.1,11,36.4,0.0,0,0,9,7,42.9,0,
15,Parma,2020-12-16,12,Em casa,E,0.0,0.0,Cagliari,58.0,0.0,8,83.1,13,15.4,0.0,1,0,13,4,100.0,1,
16,Parma,2020-12-13,11,Visitante,E,2.0,2.0,Milan,35.0,4.0,1,72.7,4,50.0,2.0,3,0,16,6,66.7,0,
17,Parma,2020-12-06,10,Em casa,E,0.0,0.0,Benevento,56.0,0.0,6,87.0,10,0.0,0.0,4,0,14,2,100.0,1,
18,Parma,2020-11-30, 9,Visitante,V,2.0,1.0,Genoa,49.0,3.0,2,77.0,9,33.3,4.5,2,0,20,5,80.0,0,
19,Parma,2020-11-22, 8,Visitante,D,0.0,3.0,Roma,42.0,3.0,1,86.1,1,100.0,0.0,0,0,6,7,57.1,0,
20,Parma,2020-11-07, 7,Em casa,E,0.0,0.0,Fiorentina,36.0,0.0,2,82.4,5,0.0,0.0,1,0,30,4,100.0,1,
21,Parma,2020-10-31, 6,Visitante,E,2.0,2.0,Inter,31.0,4.0,2,68.0,5,60.0,2.5,1,0,9,9,77.8,0,
22,Parma,2020-10-25, 5,Em casa,E,2.0,2.0,Spezia,48.0,4.0,12,77.9,16,31.3,8.0,3,0,13,6,66.7,0,
23,Parma,2020-10-18, 4,Visitante,D,2.0,3.0,Udinese,57.0,5.0,2,84.4,10,40.0,5.0,2,0,13,4,25.0,0,
24,Parma,2020-10-04, 3,Em casa,V,1.0,0.0,Hellas Verona,39.0,1.0,7,75.1,11,36.4,11.0,1,0,12,2,100.0,1,
25,Parma,2020-09-28, 2,Visitante,D,1.0,4.0,Bologna,42.0,5.0,9,75.0,8,37.5,8.0,2,1,12,8,50.0,0,
26,Parma,2020-09-20, 1,Em casa,D,0.0,2.0,Napoli,40.0,2.0,4,82.7,6,33.3,0.0,4,0,17,6,66.7,0,
0,Crotone,2021-03-12,27,Visitante,D,2.0,3.0,Lazio,37.0,5.0,1,74.7,4,50.0,2.0,3,0,12,6,50.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/3074d7b1.png
1,Crotone,2021-03-07,26,Em casa,V,4.0,2.0,Torino,43.0,6.0,8,76.1,17,35.3,4.25,4,0,21,4,50.0,0,
2,Crotone,2021-03-03,25,Visitante,D,1.0,5.0,Atalanta,35.0,6.0,3,67.0,4,50.0,4.0,2,0,18,11,54.5,0,
3,Crotone,2021-02-28,24,Em casa,D,0.0,2.0,Cagliari,56.0,2.0,7,82.3,13,15.4,0.0,2,0,19,3,66.7,0,
4,Crotone,2021-02-22,23,Visitante,D,0.0,3.0,Juventus,41.0,3.0,3,83.8,15,13.3,0.0,1,0,9,7,57.1,0,
5,Crotone,2021-02-14,22,Em casa,D,1.0,2.0,Sassuolo,36.0,3.0,7,76.4,6,66.7,6.0,1,0,18,3,66.7,0,
6,Crotone,2021-02-07,21,Visitante,D,0.0,4.0,Milan,50.0,4.0,6,80.8,11,18.2,0.0,1,0,10,10,60.0,0,
7,Crotone,2021-01-31,20,Em casa,D,0.0,3.0,Genoa,54.0,3.0,3,78.0,13,30.8,0.0,3,0,17,5,40.0,0,
8,Crotone,2021-01-23,19,Visitante,D,1.0,2.0,Fiorentina,54.0,3.0,3,81.4,10,30.0,10.0,2,0,21,6,66.7,0,
9,Crotone,2021-01-17,18,Em casa,V,4.0,1.0,Benevento,41.0,5.0,4,75.6,9,33.3,2.25,1,0,15,5,80.0,0,
10,Crotone,2021-01-10,17,Visitante,D,1.0,2.0,Hellas Verona,55.0,3.0,4,75.6,9,22.2,9.0,3,0,16,6,66.7,0,
11,Crotone,2021-01-06,16,Em casa,D,1.0,3.0,Roma,51.0,4.0,3,83.9,14,28.6,14.0,2,0,15,3,33.3,0,
12,Crotone,2021-01-03,15,Visitante,D,2.0,6.0,Inter,52.0,8.0,3,87.2,8,25.0,4.0,3,0,8,8,25.0,0,
13,Crotone,2020-12-22,14,Em casa,V,2.0,1.0,Parma,49.0,3.0,3,75.7,11,54.5,5.5,4,0,18,7,85.7,0,
14,Crotone,2020-12-19,13,Visitante,D,1.0,3.0,Sampdoria,57.0,4.0,1,80.1,5,20.0,5.0,2,0,14,4,25.0,0,
15,Crotone,2020-12-15,12,Visitante,E,0.0,0.0,Udinese,45.0,0.0,1,79.4,4,50.0,0.0,4,0,19,6,100.0,1,
16,Crotone,2020-12-12,11,Em casa,V,4.0,1.0,Spezia,41.0,5.0,1,73.4,9,77.8,2.25,3,0,17,5,80.0,0,
17,Crotone,2020-12-06,10,Em casa,D,0.0,4.0,Napoli,39.0,4.0,4,85.6,6,16.7,0.0,3,1,13,6,33.3,0,
18,Crotone,2020-11-29, 9,Visitante,D,0.0,1.0,Bologna,49.0,1.0,3,75.7,8,12.5,0.0,4,0,18,7,85.7,0,
19,Crotone,2020-11-21, 8,Em casa,D,0.0,2.0,Lazio,52.0,2.0,2,68.0,13,30.8,0.0,3,0,12,9,77.8,0,
20,Crotone,2020-11-08, 7,Visitante,E,0.0,0.0,Torino,50.0,0.0,3,82.5,8,25.0,0.0,4,1,15,0,,1,
21,Crotone,2020-10-31, 6,Em casa,D,1.0,2.0,Atalanta,42.0,3.0,1,78.2,5,20.0,5.0,1,0,11,6,66.7,0,
22,Crotone,2020-10-25, 5,Visitante,D,2.0,4.0,Cagliari,56.0,6.0,1,87.5,12,50.0,6.0,4,1,16,8,50.0,0,
23,Crotone,2020-10-17, 4,Em casa,E,1.0,1.0,Juventus,46.0,2.0,3,81.7,9,22.2,9.0,3,0,18,2,50.0,0,
24,Crotone,2020-10-03, 3,Visitante,D,1.0,4.0,Sassuolo,47.0,5.0,4,77.7,15,26.7,15.0,3,0,17,3,0.0,0,
25,Crotone,2020-09-27, 2,Em casa,D,0.0,2.0,Milan,47.0,2.0,2,78.9,6,0.0,0.0,1,0,14,5,80.0,0,
26,Crotone,2020-09-20, 1,Visitante,D,1.0,4.0,Genoa,51.0,5.0,4,85.3,13,23.1,13.0,2,0,16,6,33.3,0,
