data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-03-14,Porto,Paços,2,0,Vitória Mandante,0,0,D,16,2,5,2,10,2,11,13,1,2,0,0,12,2,1,2,3
2021-03-13,Tondela,Sporting CP,0,1,Vitória Visitante,0,0,D,4,14,2,4,3,5,17,14,3,1,0,1,8,1,3,2,5
2021-03-13,SC Farense,Belenenses,0,1,Vitória Visitante,0,0,D,13,8,4,4,6,2,18,13,1,4,0,0,8,1,1,4,5
2021-03-13,Benfica,Boavista,2,0,Vitória Mandante,1,0,H,17,3,7,0,13,3,12,7,2,0,0,1,16,2,2,1,3
2021-03-13,Santa Clara,Portimonense,2,0,Vitória Mandante,1,0,H,18,11,5,4,6,2,12,21,2,4,0,0,8,2,2,4,6
2021-03-04,Rio Ave,Gil Vicente FC,0,2,Vitória Visitante,0,0,D,10,8,3,3,4,6,12,15,3,3,1,0,10,2,4,3,7
2021-03-04,Porto,Santa Clara,2,1,Vitória Mandante,0,0,D,17,5,6,3,7,5,17,23,3,3,0,0,12,3,3,3,6
2021-03-01,Paços,Rio Ave,2,0,Vitória Mandante,1,0,H,15,12,4,2,3,4,14,9,0,0,0,0,7,2,0,0,0
2021-03-01,Santa Clara,Benfica,1,1,Empate,0,1,A,12,7,4,2,3,10,15,14,3,1,0,0,13,2,3,1,4
2021-03-01,Porto,Moreirense,3,0,Vitória Mandante,1,0,H,20,3,7,2,6,1,15,14,2,0,0,0,7,3,2,0,2
2021-03-01,Tondela,Famalicão,1,0,Vitória Mandante,0,0,D,9,17,3,7,4,5,15,13,4,5,0,0,9,1,4,5,9
2021-03-01,Marítimo,Boavista,0,0,Empate,0,0,D,9,10,4,3,2,3,16,21,3,4,0,0,5,0,3,4,7
2021-02-28,Portimonense,Marítimo,0,0,Empate,0,0,D,7,11,1,4,6,4,22,11,1,2,0,0,10,0,1,2,3
2021-02-28,Tondela,Gil Vicente FC,1,0,Vitória Mandante,1,0,H,16,13,6,2,6,8,13,10,1,0,0,1,14,1,1,1,2
2021-02-28,Nacional,Braga,1,2,Vitória Visitante,0,2,A,8,15,2,4,2,5,7,11,1,0,0,0,7,3,1,0,1
2021-02-27,Porto,Sporting CP,0,0,Empate,0,0,D,14,4,3,0,3,1,20,16,1,2,0,0,4,0,1,2,3
2021-02-27,Santa Clara,Paços,3,0,Vitória Mandante,2,0,H,7,17,4,4,2,13,11,10,1,0,0,0,15,3,1,0,1
2021-02-27,Famalicão,SC Farense,0,0,Empate,0,0,D,11,10,3,1,5,4,18,17,2,6,0,1,9,0,2,7,9
2021-02-26,Vitória,Boavista,2,1,Vitória Mandante,1,1,D,18,7,9,2,10,1,26,13,2,4,0,0,11,3,2,4,6
2021-02-22,Marítimo,Porto,1,2,Vitória Visitante,1,1,D,12,14,7,6,3,3,21,18,6,2,0,0,6,3,6,2,8
2021-02-21,SC Farense,Benfica,0,0,Empate,0,0,D,8,15,3,2,4,7,18,19,2,2,0,0,11,0,2,2,4
2021-02-21,Braga,Tondela,4,2,Vitória Mandante,3,0,H,19,8,7,3,8,2,15,12,0,2,0,0,10,6,0,2,2
2021-02-21,Rio Ave,Famalicão,0,1,Vitória Visitante,0,1,A,5,8,1,5,4,8,9,20,1,3,1,0,12,1,2,3,5
2021-02-21,Paços,Vitória,2,1,Vitória Mandante,1,1,D,8,10,3,3,3,3,10,14,0,2,0,0,6,3,0,2,2
2021-02-20,Gil Vicente FC,Santa Clara,1,0,Vitória Mandante,0,0,D,10,10,3,1,6,4,16,15,4,3,0,0,10,1,4,3,7
2021-02-20,Sporting CP,Portimonense,2,0,Vitória Mandante,2,0,H,14,7,7,1,5,4,15,19,0,3,0,0,9,2,0,3,3
2021-02-20,Belenenses,Nacional,2,1,Vitória Mandante,1,1,D,16,13,4,4,9,1,16,12,3,1,0,0,10,3,3,1,4
2021-02-19,Boavista,Moreirense,1,0,Vitória Mandante,0,0,D,11,8,6,1,10,5,14,19,3,2,0,0,15,1,3,2,5
2021-02-17,Vitória,SC Farense,2,2,Empate,2,1,H,15,8,3,3,8,4,14,17,0,3,0,1,12,4,0,4,4
2021-02-16,Tondela,Marítimo,2,1,Vitória Mandante,1,1,D,13,5,6,3,2,1,22,19,4,5,0,0,3,3,4,5,9
2021-02-15,Sporting CP,Paços,2,0,Vitória Mandante,1,0,H,7,7,3,2,2,4,27,20,5,3,0,0,6,2,5,3,8
2021-02-14,Moreirense,Benfica,1,1,Empate,1,1,D,8,18,3,8,3,9,17,15,2,3,0,0,12,2,2,3,5
2021-02-14,Santa Clara,Braga,0,1,Vitória Visitante,0,1,A,9,8,2,3,9,3,17,18,3,2,0,0,12,1,3,2,5
2021-02-14,Portimonense,Gil Vicente FC,4,1,Vitória Mandante,2,1,H,11,9,4,3,6,4,22,13,2,0,0,0,10,5,2,0,2
2021-02-13,Nacional,SC Farense,2,3,Vitória Visitante,0,0,D,10,9,4,4,6,10,14,16,4,2,0,0,16,5,4,2,6
2021-02-13,Porto,Boavista,2,2,Empate,0,2,A,17,4,6,4,7,2,14,26,2,4,0,0,9,4,2,4,6
2021-02-13,Vitória,Rio Ave,1,3,Vitória Visitante,0,2,A,15,5,7,3,11,0,15,17,2,2,0,0,11,4,2,2,4
2021-02-04,Nacional,Portimonense,1,5,Vitória Visitante,0,2,A,12,18,2,10,6,6,7,17,3,1,0,0,12,6,3,1,4
2021-02-02,Gil Vicente FC,Paços,1,2,Vitória Visitante,0,2,A,3,9,3,6,8,3,16,21,3,5,0,0,11,3,3,5,8
2021-02-01,Sporting CP,Braga,2,0,Vitória Mandante,0,0,D,6,12,4,3,5,4,17,17,3,4,0,0,9,2,3,4,7
