data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-02-01,Erzurum BB,Gaziantep FK,1,1,Empate,0,0,D,5,12,1,4,2,5,14,15,4,4,0,0,7,2,4,4,8
2021-02-01,Hatayspor,Konyaspor,2,1,Vitória Mandante,1,1,D,12,14,4,2,4,8,12,13,2,3,0,0,12,3,2,3,5
2021-02-01,Galatasaray,Antalyaspor,0,0,Empate,0,0,D,15,5,6,1,6,8,9,11,2,4,1,0,14,0,3,4,7
2021-02-01,Ankaragücü,Yeni Mal'spor,3,1,Vitória Mandante,2,0,H,9,16,5,2,4,7,14,15,3,2,0,1,11,4,3,3,6
2021-02-01,Alanyaspor,Başakşehir,3,0,Vitória Mandante,2,0,H,11,12,5,2,2,8,12,12,4,3,0,0,10,3,4,3,7
2021-02-01,Sivasspor,Denizlispor,2,2,Empate,2,1,H,7,14,5,5,1,6,11,12,1,3,0,0,7,4,1,3,4
2021-01-31,Denizlispor,Göztepe,2,1,Vitória Mandante,1,0,H,9,4,4,2,2,5,18,13,2,1,0,0,7,3,2,1,3
2021-01-31,Gençlerbirliği,Antalyaspor,0,1,Vitória Visitante,0,0,D,7,10,2,3,3,4,15,14,2,1,0,0,7,1,2,1,3
2021-01-31,Beşiktaş,Trabzonspor,1,2,Vitória Visitante,1,1,D,22,16,8,5,7,5,12,8,2,3,1,0,12,3,3,3,6
2021-01-31,Erzurum BB,Ankaragücü,1,0,Vitória Mandante,0,0,D,11,6,5,2,3,4,26,17,7,6,1,2,7,1,8,8,16
2021-01-31,Alanyaspor,Sivasspor,3,1,Vitória Mandante,2,0,H,9,11,4,4,1,5,15,15,2,1,0,0,6,4,2,1,3
2021-01-30,Kasımpaşa,Kayserispor,0,1,Vitória Visitante,0,0,D,15,15,4,5,3,5,17,14,2,0,0,0,8,1,2,0,2
