data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo
2020-02-02,Galatasaray,Kayserispor,4.0,1.0,Vitória Mandante,2.0,0.0,H
2020-02-02,Gaziantep,Sivasspor,5.0,1.0,Vitória Mandante,3.0,1.0,H
2020-02-02,Alanyaspor,Yeni Malatyaspor,2.0,1.0,Vitória Mandante,1.0,0.0,H
2020-01-31,Buyuksehyr,Genclerbirligi,3.0,1.0,Vitória Mandante,1.0,1.0,D
2020-01-27,Sivasspor,Rizespor,1.0,1.0,Empate,0.0,0.0,D
2020-01-26,Denizlispor,Antalyaspor,0.0,3.0,Vitória Visitante,0.0,2.0,A
2020-01-26,Goztep,Besiktas,2.0,1.0,Vitória Mandante,2.0,1.0,H
2020-01-26,Konyaspor,Galatasaray,0.0,3.0,Vitória Visitante,0.0,2.0,A
2020-01-25,Fenerbahce,Buyuksehyr,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-01-25,Kasimpasa,Alanyaspor,1.0,2.0,Vitória Visitante,0.0,1.0,A
2020-01-25,Kayserispor,Ankaragucu,1.0,1.0,Empate,1.0,0.0,H
2020-01-24,Genclerbirligi,Gaziantep,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-01-20,Rizespor,Genclerbirligi,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-01-19,Besiktas,Sivasspor,1.0,2.0,Vitória Visitante,1.0,2.0,A
2020-01-19,Galatasaray,Denizlispor,2.0,1.0,Vitória Mandante,1.0,0.0,H
2020-01-19,Trabzonspor,Kasimpasa,6.0,0.0,Vitória Mandante,3.0,0.0,H
2020-01-19,Antalyaspor,Goztep,0.0,3.0,Vitória Visitante,0.0,3.0,A
2020-01-18,Buyuksehyr,Yeni Malatyaspor,4.0,1.0,Vitória Mandante,4.0,0.0,H
2020-01-18,Alanyaspor,Kayserispor,5.0,1.0,Vitória Mandante,1.0,0.0,H
2020-01-18,Gaziantep,Fenerbahce,0.0,2.0,Vitória Visitante,0.0,0.0,D
2020-01-17,Ankaragucu,Konyaspor,0.0,1.0,Vitória Visitante,0.0,0.0,D
2020-01-03,Galatasaray,Genclerbirligi,3.0,0.0,Vitória Mandante,2.0,0.0,H
2020-01-03,Ankaragucu,Sivasspor,0.0,3.0,Vitória Visitante,0.0,0.0,D
2020-01-03,Denizlispor,Yeni Malatyaspor,2.0,0.0,Vitória Mandante,1.0,0.0,H
2020-01-02,Rizespor,Besiktas,1.0,2.0,Vitória Visitante,1.0,1.0,D
2020-01-02,Antalyaspor,Konyaspor,0.0,0.0,Empate,0.0,0.0,D
2020-01-02,Trabzonspor,Fenerbahce,2.0,1.0,Vitória Mandante,2.0,1.0,H
2019-12-29,Sivasspor,Goztep,1.0,0.0,Vitória Mandante,0.0,0.0,D
2019-12-29,Alanyaspor,Konyaspor,2.0,1.0,Vitória Mandante,1.0,1.0,D
2019-12-29,Gaziantep,Yeni Malatyaspor,1.0,1.0,Empate,1.0,0.0,H
2019-12-29,Rizespor,Fenerbahce,1.0,2.0,Vitória Visitante,1.0,1.0,D
2019-12-28,Trabzonspor,Kayserispor,6.0,2.0,Vitória Mandante,2.0,1.0,H
2019-12-28,Galatasaray,Antalyaspor,5.0,0.0,Vitória Mandante,3.0,0.0,H
2019-12-28,Buyuksehyr,Kasimpasa,5.0,1.0,Vitória Mandante,4.0,0.0,H
2019-12-28,Ankaragucu,Denizlispor,2.0,2.0,Empate,0.0,2.0,A
2019-12-27,Besiktas,Genclerbirligi,4.0,1.0,Vitória Mandante,0.0,1.0,A
2019-12-23,Konyaspor,Trabzonspor,0.0,1.0,Vitória Visitante,0.0,1.0,A
2019-12-23,Denizlispor,Alanyaspor,1.0,5.0,Vitória Visitante,0.0,3.0,A
2019-12-22,Fenerbahce,Besiktas,3.0,1.0,Vitória Mandante,2.0,1.0,H
2019-12-22,Kayserispor,Buyuksehyr,1.0,4.0,Vitória Visitante,1.0,2.0,A
2019-12-22,Genclerbirligi,Sivasspor,2.0,2.0,Empate,0.0,1.0,A
2019-12-21,Goztep,Galatasaray,2.0,1.0,Vitória Mandante,1.0,1.0,D
2019-12-21,Kasimpasa,Gaziantep,3.0,4.0,Vitória Visitante,1.0,4.0,A
2019-12-21,Yeni Malatyaspor,Rizespor,0.0,2.0,Vitória Visitante,0.0,1.0,A
2019-12-20,Antalyaspor,Ankaragucu,2.0,2.0,Empate,1.0,0.0,H
2019-12-16,Buyuksehyr,Konyaspor,1.0,1.0,Empate,1.0,0.0,H
2019-12-16,Trabzonspor,Denizlispor,1.0,2.0,Vitória Visitante,1.0,0.0,H
2019-12-15,Besiktas,Yeni Malatyaspor,0.0,2.0,Vitória Visitante,0.0,0.0,D
2019-12-15,Sivasspor,Fenerbahce,3.0,1.0,Vitória Mandante,1.0,0.0,H
2019-12-15,Gaziantep,Kayserispor,3.0,0.0,Vitória Mandante,0.0,0.0,D
2019-12-14,Galatasaray,Ankaragucu,2.0,2.0,Empate,0.0,0.0,D
2019-12-14,Genclerbirligi,Goztep,3.0,1.0,Vitória Mandante,2.0,1.0,H
2019-12-14,Rizespor,Kasimpasa,0.0,3.0,Vitória Visitante,0.0,2.0,A
2019-12-13,Alanyaspor,Antalyaspor,0.0,0.0,Empate,0.0,0.0,D
2019-12-05,Yeni Malatyaspor,Erzurum BB,3.0,1.0,Vitória Mandante,0.0,0.0,D
2019-12-05,Buyuksehyr,Ankaragucu,2.0,1.0,Vitória Mandante,0.0,1.0,A
2019-12-05,Kayserispor,Kasimpasa,2.0,1.0,Vitória Mandante,0.0,1.0,A
2019-12-05,Konyaspor,Trabzonspor,2.0,2.0,Empate,2.0,1.0,H
2019-12-04,Bursaspor,Trabzonspor,0.0,1.0,Vitória Visitante,0.0,0.0,D
2019-11-30,Rizespor,Konyaspor,3.0,1.0,Vitória Mandante,2.0,1.0,H
2019-11-30,Sivasspor,Kasimpasa,2.0,0.0,Vitória Mandante,2.0,0.0,H
2019-11-30,Alanyaspor,Ankaragucu,5.0,0.0,Vitória Mandante,2.0,0.0,H
2019-11-30,Goztep,Fenerbahce,2.0,2.0,Empate,1.0,1.0,D
2019-11-29,Genclerbirligi,Yeni Malatyaspor,3.0,3.0,Empate,0.0,1.0,A
2019-11-25,Antalyaspor,Gaziantep,1.0,1.0,Empate,0.0,1.0,A
2019-11-24,Kasimpasa,Genclerbirligi,1.0,2.0,Vitória Visitante,0.0,0.0,D
2019-11-24,Alanyaspor,Goztep,0.0,1.0,Vitória Visitante,0.0,0.0,D
